Its	PP$	its
spelled	VBN	spell
S	NP	S
L	NP	L
A	NP	A
S	NP	S
H	NP	H
E	NP	E
R	NP	R
S	NP	S
I	PP	I
was	VBD	be
happy	JJ	happy
when	WRB	when
the	DT	the
main	JJ	main
character	NN	character
flashed	VBD	flash
her	PP	her
boobs	VBZ	boob
That	DT	that
was	VBD	be
pretty	RB	pretty
tight	JJ	tight
Before	IN	before
and	CC	and
after	IN	after
that	IN	that
the	DT	the
movie	NN	movie
pretty	RB	pretty
much	RB	much
blows	VBZ	blow
The	DT	the
acting	NN	acting
is	VBZ	be
like	IN	like
E	NN	E
list	NN	list
and	CC	and
it	PP	it
's	VBZ	be
shown	VBN	show
well	RB	well
in	IN	in
the	DT	the
movie	NN	movie
Not	RB	not
to	TO	to
mention	VB	mention
it	PP	it
is	VBZ	be
so	RB	so
low	JJ	low
budget	NN	budget
that	IN	that
Preacherman	NP	<unknown>
and	CC	and
Chainsaw	NP	Chainsaw
Charlie	NP	Charlie
are	VBP	be
played	VBN	play
by	IN	by
the	DT	the
same	JJ	same
person	NN	person
The	DT	the
whole	JJ	whole
movie	NN	movie
looks	VBZ	look
like	IN	like
it	PP	it
was	VBD	be
shot	VBN	shoot
with	IN	with
a	DT	a
camcorder	NN	camcorder
instead	RB	instead
of	IN	of
half	DT	half
way	NN	way
decent	JJ	decent
film	NN	film
The	DT	the
only	JJ	only
other	JJ	other
reason	NN	reason
I	PP	I
liked	VBD	like
the	DT	the
movie	NN	movie
was	VBD	be
because	IN	because
Chainsaw	NP	Chainsaw
Charlie	NP	Charlie
and	CC	and
Doctor	NP	Doctor
Ripper	NP	Ripper
were	VBD	be
funny	JJ	funny
They	PP	they
said	VBD	say
many	JJ	many
stupid	JJ	stupid
things	NNS	thing
that	WDT	that
made	VBD	make
me	PP	me
laugh	VB	laugh
Other	JJ	other
than	IN	than
that	DT	that
if	IN	if
you	PP	you
see	VBP	see
this	DT	this
movie	NN	movie
at	IN	at
Blockbuster	NP	Blockbuster
do	VBP	do
everyone	NN	everyone
a	DT	a
favor	NN	favor
hide	VB	hide
it	PP	it
behind	IN	behind
Lawnmowerman	NP	<unknown>
2	CD	2
Anybody	NN	anybody
that	WDT	that
thinks	VBZ	think
this	DT	this
movie	NN	movie
is	VBZ	be
good	NN	good
should	MD	should
be	VB	be
mentally	RB	mentally
evaluated	VBN	evaluate
