what	WP	what
can	MD	can
i	NNS	i
say	VB	say
about	IN	about
this	DT	this
film	NN	film
that	IN	that
hasnt	NN	<unknown>
already	RB	already
been	VBN	be
said	VBN	say
well	RB	well
to	TO	to
tell	VB	tell
the	DT	the
truth	NN	truth
alot	NN	<unknown>
of	IN	of
it	PP	it
looks	VBZ	look
very	RB	very
fake	JJ	fake
like	IN	like
some	DT	some
of	IN	of
the	DT	the
slaps	NNS	slap
and	CC	and
the	DT	the
kicks	NNS	kick
how	WRB	how
charlie	NN	charlie
sheen	NN	sheen
though	IN	though
this	DT	this
was	VBD	be
real	JJ	real
i	NP	i
dont	NN	<unknown>
know	VBP	know
im	NP	im
sure	JJ	sure
they	PP	they
would	MD	would
be	VB	be
hitting	VBG	hit
and	CC	and
kicking	VBG	kick
her	PP$	her
alot	NN	<unknown>
harder	RBR	harder
if	IN	if
it	PP	it
was	VBD	be
however	RB	however
the	DT	the
scenes	NNS	scene
with	IN	with
the	DT	the
pinching	VBG	pinch
and	CC	and
the	DT	the
hot	JJ	hot
oil	NN	oil
look	VBP	look
very	RB	very
real	JJ	real
and	CC	and
the	DT	the
final	JJ	final
needle	NN	needle
in	IN	in
the	DT	the
eye	NN	eye
scene	NN	scene
is	VBZ	be
amazingly	RB	amazingly
done	VBN	do
and	CC	and
is	VBZ	be
probibly	RB	<unknown>
the	DT	the
only	JJ	only
thing	NN	thing
on	IN	on
film	NN	film
that	WDT	that
has	VBZ	have
ever	RB	ever
shocked	VBN	shock
me	PP	me
