What	WP	What
another	DT	another
reviewer	NN	reviewer
called	VBD	call
lack	NN	lack
of	IN	of
character	NN	character
development	NN	development
I	PP	I
call	VBP	call
understatement	NN	understatement
The	DT	the
movie	NN	movie
did	VBD	do
n't	RB	n't
bash	VB	bash
one	PP	one
over	IN	over
the	DT	the
head	NN	head
with	IN	with
overexplanation	NN	<unknown>
or	CC	or
unnecessary	JJ	unnecessary
backstory	NNS	<unknown>
Yes	RB	Yes
there	EX	there
were	VBD	be
many	JJ	many
untold	JJ	untold
stories	NNS	storey
that	IN	that
we	PP	we
only	RB	only
got	VBD	get
a	DT	a
glimpse	NN	glimpse
of	IN	of
but	CC	but
this	DT	this
was	VBD	be
primarily	RB	primarily
a	DT	a
one	CD	one
day	NN	day
snapshot	NN	snapshot
into	IN	into
an	DT	an
event	NN	event
that	WDT	that
catalyzed	VBD	catalyze
change	NN	change
in	IN	in
all	DT	all
of	IN	of
the	DT	the
characters	NNS	character
'	''	'
lives	VBZ	live
Henry	NP	Henry
Thomas	NP	Thomas
's	POS	's
performance	NN	performance
was	VBD	be
a	DT	a
really	RB	really
lovely	JJ	lovely
study	NN	study
in	IN	in
the	DT	the
power	NN	power
of	IN	of
acting	VBG	act
that	IN	that
focuses	NNS	focus
on	IN	on
reaction	NN	reaction
rather	RB	rather
than	IN	than
action	NN	action
Good	JJ	good
rental	NN	rental
