When	WRB	when
I	PP	I
was	VBD	be
six	CD	six
yo	NN	<unknown>
I	PP	I
learned	VBD	learn
about	IN	about
a	DT	a
series	NN	series
called	VBN	call
"	``	"
Los	NP	Los
Campeones	NP	<unknown>
"	''	"
and	CC	and
even	RB	even
if	IN	if
I	PP	I
was	VBD	be
just	RB	just
a	DT	a
kid	NN	kid
I	PP	I
did	VBD	do
everything	NN	everything
I	PP	I
need	VBP	need
to	TO	to
convince	VB	convince
my	PP$	my
parents	NNS	parent
to	TO	to
let	VB	let
me	PP	me
watch	VB	watch
"	``	"
The	DT	the
Champions	NNS	champion
"	''	"
and	CC	and
"	``	"
the	DT	the
Avengers	NNS	avenger
"	''	"
once	IN	once
every	DT	every
week	NN	week
I	PP	I
think	VBP	think
that	WDT	that
was	VBD	be
the	DT	the
Golden	NP	Golden
Age	NP	Age
of	IN	of
English	JJ	English
series	NN	series
I	PP	I
already	RB	already
own	VBP	own
the	DT	the
complete	JJ	complete
cycle	NN	cycle
of	IN	of
"	``	"
The	DT	the
Prisoner	NP	<unknown>
"	''	"
but	CC	but
lasted	VBD	last
also	RB	also
a	DT	a
few	JJ	few
years	NNS	year
later	RBR	later
with	IN	with
"	``	"
The	DT	the
Tomorrow	NN	tomorrow
People	NNS	people
"	''	"
"	''	"
the	DT	the
Worst	JJS	bad
Witch	NP	<unknown>
"	``	"
I	PP	I
just	RB	just
me	PP	me
or	CC	or
this	DT	this
is	VBZ	be
"	``	"
Harry	NP	Harry
Potter	NP	Potter
"	''	"
in	IN	in
girl	NN	girl
of	IN	of
course	NN	course
before	IN	before
As	RB	as
much	JJ	much
as	IN	as
I	PP	I
want	VBP	want
"	``	"
The	DT	the
Campions	NNS	campion
"	''	"
to	TO	to
be	VB	be
in	IN	in
Zone	NP	Zone
1	CD	1
or	CC	or
Zone	NP	Zone
4	CD	4
I	PP	I
'm	VBP	be
also	RB	also
waiting	VBG	wait
for	IN	for
"	``	"
Dr	NN	Dr
Who	WP	who
"	``	"
pack	VB	pack
the	DT	the
whole	JJ	whole
series	NN	series
in	IN	in
a	DT	a
set	NN	set
of	IN	of
uhm	NN	<unknown>
maybe	RB	maybe
300	CD	@card@
DVD	NN	<unknown>
's	VBZ	be
please	UH	please
I	PP	I
could	MD	could
n't	RB	n't
expend	VB	expend
more	RBR	more
for	IN	for
it	PP	it
8	CD	8
"	''	"
People	NNS	people
of	IN	of
Tomorrow	NN	tomorrow
"	''	"
and	CC	and
several	JJ	several
other	JJ	other
'	''	'
low	JJ	low
budget	NN	budget
'	''	'
but	CC	but
great	JJ	great
stories	NNS	storey
to	TO	to
be	VB	be
available	JJ	available
within	IN	within
my	PP$	my
reached	VBN	reach
zones	NNS	zone
I	PP	I
speak	VBP	speak
and	CC	and
understand	VBP	understand
English	JJ	English
but	CC	but
not	RB	not
all	PDT	all
my	PP$	my
relatives	NNS	relative
do	VBP	do
including	VBG	include
my	PP$	my
parents	NNS	parent
whom	WP	whom
introduced	VBD	introduce
me	PP	me
into	IN	into
these	DT	these
great	JJ	great
stories	NNS	storey
I	PP	I
hope	VBP	hope
someday	RB	someday
someone	NN	someone
could	MD	could
feel	VB	feel
the	DT	the
attraction	NN	attraction
of	IN	of
these	DT	these
series	NN	series
and	CC	and
then	RB	then
could	MD	could
sell	VB	sell
them	PP	them
as	IN	as
I	PP	I
originally	RB	originally
view	VBP	view
them	PP	them
Dubbed	VBN	dub
or	CC	or
subtitled	VBN	subtitle
but	CC	but
in	IN	in
the	DT	the
same	JJ	same
format	NN	format
I	PP	I
saw	VBD	see
them	PP	them
Remember	VB	remember
Zone	NP	Zone
1	CD	1
or	CC	or
4	CD	4
are	VBP	be
OK	JJ	OK
with	IN	with
my	PP$	my
TV	NN	TV
set	VBD	set
