this	DT	this
may	MD	may
be	VB	be
a	DT	a
bit	NN	bit
on	IN	on
the	DT	the
spoilerish	JJ	<unknown>
side	NN	side
I	PP	I
would	MD	would
like	VB	like
to	TO	to
start	VB	start
by	IN	by
saying	VBG	say
I	PP	I
did	VBD	do
not	RB	not
watch	VB	watch
the	DT	the
entire	JJ	entire
movie	NN	movie
nor	CC	nor
could	MD	could
I	PP	I
because	IN	because
it	PP	it
was	VBD	be
evident	JJ	evident
from	IN	from
the	DT	the
first	JJ	first
hour	NN	hour
that	IN	that
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
incredibly	RB	incredibly
disappointed	VBN	disappoint
That	IN	that
of	IN	of
course	NN	course
is	VBZ	be
the	DT	the
problem	NN	problem
with	IN	with
taking	VBG	take
what	WP	what
many	RB	many
believe	VBP	believe
to	TO	to
be	VB	be
an	DT	an
amazing	JJ	amazing
book	NN	book
and	CC	and
turning	VBG	turn
it	PP	it
into	IN	into
a	DT	a
Disney	NP	Disney
Made	NP	Made
for	IN	for
TV	NP	TV
movie	NN	movie
A	NP	A
Wrinkle	NP	Wrinkle
in	IN	in
Time	NP	Time
should	MD	should
have	VB	have
been	VBN	be
made	VBN	make
into	IN	into
an	DT	an
amazing	JJ	amazing
movie	NN	movie
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
It	PP	it
's	VBZ	have
got	VBN	get
a	DT	a
great	JJ	great
storyline	NN	storyline
that	WDT	that
could	MD	could
hook	VB	hook
children	NNS	child
and	CC	and
adults	NNS	adult
Plus	CC	Plus
it	PP	it
's	VBZ	be
got	VBN	get
built	VBN	build
in	IN	in
quality	NN	quality
sequels	NNS	sequel
But	CC	but
Disney	NP	Disney
fying	VBG	<unknown>
was	VBD	be
not	RB	not
the	DT	the
way	NN	way
to	TO	to
go	VB	go
The	DT	the
problem	NN	problem
with	IN	with
the	DT	the
movie	NN	movie
is	VBZ	be
that	IN	that
all	PDT	all
the	DT	the
things	NNS	thing
they	PP	they
changed	VBD	change
to	TO	to
turn	VB	turn
it	PP	it
into	IN	into
a	DT	a
visual	JJ	visual
story	NN	story
dumbed	VBD	<unknown>
down	RP	down
what	WP	what
was	VBD	be
so	RB	so
great	JJ	great
about	IN	about
the	DT	the
book	NN	book
It	PP	it
is	VBZ	be
a	DT	a
complicated	JJ	complicated
and	CC	and
emotional	JJ	emotional
story	NN	story
for	IN	for
kids	NNS	kid
There	EX	there
was	VBD	be
no	DT	no
reason	NN	reason
to	TO	to
make	VB	make
Charles	NP	Charles
Wallace	NP	Wallace
purely	RB	purely
"	``	"
psychic	JJ	psychic
"	''	"
because	IN	because
that	WDT	that
was	VBD	be
the	DT	the
easiest	JJS	easy
way	NN	way
of	IN	of
explaining	VBG	explain
it	PP	it
There	EX	there
was	VBD	be
no	DT	no
reason	NN	reason
to	TO	to
write	VB	write
a	DT	a
fight	NN	fight
between	IN	between
the	DT	the
three	CD	three
Mrs	NN	Mrs
W	NN	W
's	VBZ	be
as	RB	as
added	VBN	add
tension	NN	tension
there	EX	there
is	VBZ	be
enough	RB	enough
tension	NN	tension
in	IN	in
the	DT	the
story	NN	story
without	IN	without
that	WDT	that
There	EX	there
was	VBD	be
no	DT	no
reason	NN	reason
to	TO	to
remove	VB	remove
Meg	NP	Meg
's	POS	's
glasses	NNS	glass
that	IN	that
deprived	VBN	deprive
us	PP	us
of	IN	of
what	WP	what
could	MD	could
've	VB	have
been	VBN	be
a	DT	a
very	RB	very
sweet	JJ	sweet
scene	NN	scene
between	IN	between
Calvin	NP	Calvin
and	CC	and
Meg	NP	Meg
that	WDT	that
happens	VBZ	happen
in	IN	in
the	DT	the
book	NN	book
I	PP	I
could	MD	could
nitpick	VB	<unknown>
for	IN	for
days	NNS	day
about	IN	about
little	JJ	little
things	NNS	thing
but	CC	but
I	PP	I
also	RB	also
think	VBP	think
larger	JJR	large
things	NNS	thing
like	IN	like
the	DT	the
art	NN	art
direction	NN	direction
was	VBD	be
a	DT	a
off	RB	off
Take	VB	take
for	IN	for
instance	NN	instance
the	DT	the
way	NN	way
they	PP	they
made	VBD	make
Camazotz	NP	<unknown>
look	VBP	look
with	IN	with
its	PP$	its
strangely	RB	strangely
darkened	VBN	darken
skies	NNS	sky
The	DT	the
creepiness	NN	creepiness
that	WDT	that
comes	VBZ	come
across	IN	across
in	IN	in
the	DT	the
book	NN	book
is	VBZ	be
that	IN	that
Camazotz	NP	<unknown>
could	MD	could
be	VB	be
Earth	NN	earth
It	PP	it
looks	VBZ	look
like	IN	like
earth	NN	earth
It	PP	it
has	VBZ	have
people	NNS	people
on	IN	on
it	PP	it
that	WDT	that
look	VBP	look
like	IN	like
humans	NNS	human
The	DT	the
skies	NNS	sky
are	VBP	be
blue	JJ	blue
the	DT	the
grass	NN	grass
is	VBZ	be
green	JJ	green
and	CC	and
there	EX	there
are	VBP	be
children	NNS	child
playing	VBG	play
But	CC	but
something	NN	something
is	VBZ	be
