Such	PDT	such
a	DT	a
long	RB	long
awaited	VBN	await
movie	NN	movie
But	CC	but
it	PP	it
has	VBZ	have
disappointed	VBN	disappoint
me	PP	me
and	CC	and
my	PP$	my
friends	NNS	friend
who	WP	who
had	VBD	have
gone	VBN	go
to	TO	to
see	VB	see
the	DT	the
movie	NN	movie
on	IN	on
the	DT	the
first	JJ	first
day	NN	day
From	IN	from
the	DT	the
trailers	NNS	trailer
it	PP	it
looked	VBD	look
like	IN	like
a	DT	a
action	NN	action
movie	NN	movie
but	CC	but
it	PP	it
turned	VBD	turn
out	RP	out
to	TO	to
be	VB	be
a	DT	a
out	RP	out
out	IN	out
comedy	NN	comedy
a	DT	a
bad	JJ	bad
comedy	NN	comedy
But	CC	but
one	CD	one
thing	NN	thing
that	WDT	that
deserves	VBZ	deserve
appreciation	NN	appreciation
is	VBZ	be
the	DT	the
acting	NN	acting
by	IN	by
these	DT	these
professional	JJ	professional
actors	NNS	actor
they	PP	they
've	VBP	have
done	VBN	do
their	PP$	their
part	NN	part
of	IN	of
the	DT	the
movie	NN	movie
very	RB	very
well	RB	well
Good	JJ	good
acting	NN	acting
but	CC	but
i	NP	i
do	VBP	do
n't	RB	n't
think	VB	think
that	WDT	that
can	MD	can
save	VB	save
the	DT	the
movie	NN	movie
India	NP	India
has	VBZ	have
been	VBN	be
shot	VBN	shoot
beautifully	RB	beautifully
Kerala	NP	Kerala
Rajasthan	NP	<unknown>
Ladakh	NP	<unknown>
were	VBD	be
all	RB	all
saturated	VBN	saturate
with	IN	with
color	NN	color
alright	RB	alright
Nevertheless	RB	nevertheless
the	DT	the
way	NN	way
the	DT	the
intrinsic	JJ	intrinsic
beauty	NN	beauty
of	IN	of
these	DT	these
places	NNS	place
was	VBD	be
shot	VBN	shoot
made	VBD	make
me	PP	me
want	VBP	want
to	TO	to
find	VB	find
out	RP	out
exactly	RB	exactly
where	WRB	where
those	DT	those
places	NNS	place
were	VBD	be
and	CC	and
when	WRB	when
I	PP	I
could	MD	could
go	VB	go
there	RB	there
happy	JJ	happy
Action	NP	Action
sequences	NNS	sequence
were	VBD	be
shot	VBN	shoot
very	RB	very
shabbily	RB	shabbily
no	DT	no
one	CD	one
could	MD	could
make	VB	make
out	RP	out
head	NN	head
tail	NN	tail
of	IN	of
the	DT	the
stunts	NNS	stunt
they	PP	they
've	VBP	have
used	VBN	use
Akki	NP	<unknown>
akshay	NP	Akshay
kumar	NN	<unknown>
very	RB	very
well	RB	well
but	CC	but
could	MD	could
've	VBP	have
been	VBN	be
done	VBN	do
much	RB	much
much	RB	much
better	JJR	good
Animation	NN	animation
is	VBZ	be
the	DT	the
worst	JJS	bad
i	NNS	i
've	VBP	have
seen	VBN	see
in	IN	in
recent	JJ	recent
movies	NNS	movie
90	CD	@card@
's	POS	's
movies	NNS	movie
had	VBD	have
better	JJR	good
animation	NN	animation
scenes	NNS	scene
i	NNS	i
guess	VBP	guess
initial	JJ	initial
scene	NN	scene
where	WRB	where
the	DT	the
car	NN	car
is	VBZ	be
falling	VBG	fall
off	RP	off
'	''	'
flying	NN	flying
should	MD	should
be	VB	be
better	JJR	good
word	NN	word
'	''	'
the	DT	the
road	NN	road
into	IN	into
lake	NN	lake
And	CC	and
the	DT	the
movies	NNS	movie
name	NN	name
has	VBZ	have
been	VBN	be
mentioned	VBN	mention
nearly	RB	nearly
every	DT	every
20	CD	@card@
to	TO	to
30	CD	@card@
mins	NNS	min
just	RB	just
to	TO	to
make	VB	make
sure	JJ	sure
audiences	NNS	audience
do	VBP	do
n't	RB	n't
forget	VB	forget
the	DT	the
movie	NN	movie
name	NN	name
i	NNS	i
guess	VBP	guess
