Once	RB	once
again	RB	again
I	PP	I
have	VBP	have
seen	VBN	see
a	DT	a
movie	NN	movie
made	VBN	make
by	IN	by
people	NNS	people
that	WDT	that
know	VBP	know
nothing	NN	nothing
I	PP	I
just	RB	just
recently	RB	recently
reviewed	VBN	review
Baby	NP	Baby
Face	NP	Face
Nelson	NP	Nelson
Now	RB	now
I	PP	I
've	VBP	have
seen	VBN	see
Dillinger	NP	Dillinger
and	CC	and
I	PP	I
've	VBP	have
had	VBD	have
it	PP	it
This	DT	this
movie	NN	movie
is	VBZ	be
garbage	NN	garbage
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
how	WRB	how
anyone	NN	anyone
in	IN	in
their	PP$	their
right	JJ	right
mind	NN	mind
could	MD	could
compare	VB	compare
this	DT	this
to	TO	to
a	DT	a
classic	NN	classic
like	IN	like
Bonnie	NP	Bonnie
and	CC	and
Clyde	NP	Clyde
This	DT	this
movie	NN	movie
is	VBZ	be
far	RB	far
from	IN	from
a	DT	a
classic	JJ	classic
Someone	NN	someone
called	VBD	call
it	PP	it
brilliant	JJ	brilliant
That	DT	that
's	VBZ	be
an	DT	an
insane	JJ	insane
thing	NN	thing
to	TO	to
say	VB	say
This	DT	this
movie	NN	movie
ca	MD	ca
n't	RB	n't
get	VB	get
any	DT	any
facts	NNS	fact
straight	RB	straight
and	CC	and
it	PP	it
has	VBZ	have
the	DT	the
worst	JJS	bad
casting	NN	casting
I	PP	I
've	VBP	have
ever	RB	ever
seen	VBN	see
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
whose	WP$	whose
dumb	JJ	dumb
idea	NN	idea
it	PP	it
was	VBD	be
to	TO	to
cast	VB	cast
Warren	NP	Warren
Oates	NP	Oates
as	IN	as
John	NP	John
Dillinger	NP	Dillinger
First	NP	First
of	IN	of
all	DT	all
he	PP	he
looks	VBZ	look
nothing	NN	nothing
like	IN	like
him	PP	him
Second	RB	second
of	IN	of
all	DT	all
by	IN	by
the	DT	the
time	NN	time
John	NP	John
Dillinger	NP	Dillinger
was	VBD	be
killed	VBN	kill
he	PP	he
was	VBD	be
31	CD	@card@
When	WRB	when
Oates	NP	Oates
made	VBD	make
this	DT	this
he	PP	he
was	VBD	be
45	CD	@card@
You	PP	you
could	MD	could
even	RB	even
tell	VB	tell
that	IN	that
he	PP	he
's	VBZ	be
older	JJR	old
than	IN	than
the	DT	the
real	JJ	real
Dillinger	NP	Dillinger
just	RB	just
by	IN	by
looking	VBG	look
at	IN	at
him	PP	him
Not	RB	not
only	RB	only
was	VBD	be
he	PP	he
too	RB	too
old	JJ	old
but	CC	but
so	RB	so
was	VBD	be
Ben	NP	Ben
Johnson	NP	Johnson
as	IN	as
Melvin	NP	Melvin
Purvis	NP	Purvis
They	PP	they
show	VBP	show
Baby	NP	Baby
Face	NP	Face
Nelson	NP	Nelson
die	VBP	die
then	RB	then
Homer	NP	Homer
Van	NP	Van
Meter	NP	Meter
and	CC	and
finally	RB	finally
John	NP	John
Dillinger	NP	Dillinger
John	NP	John
Dillinger	NP	Dillinger
was	VBD	be
killed	VBN	kill
before	IN	before
both	DT	both
of	IN	of
them	PP	them
The	DT	the
last	JJ	last
one	CD	one
to	TO	to
die	VB	die
out	RP	out
of	IN	of
the	DT	the
three	CD	three
was	VBD	be
Baby	NP	Baby
Face	NP	Face
Nelson	NP	Nelson
Not	RB	not
only	RB	only
do	VB	do
