Where	WRB	where
to	TO	to
start	VB	start
I	PP	I
feel	VB	feel
violated	VBN	violate
Thats	NNS	<unknown>
right	RB	right
violated	VBD	violate
I	PP	I
just	RB	just
spent	VBD	spend
1	CD	1
5hrs	NN	<unknown>
of	IN	of
my	PP$	my
life	NN	life
1	CD	1
5hrs	NN	<unknown>
that	IN	that
I	PP	I
could	MD	could
have	VB	have
spent	VBN	spend
doing	VBG	do
something	NN	something
more	RBR	more
useful	JJ	useful
like	IN	like
watching	VBG	watch
paint	NN	paint
dry	JJ	dry
on	IN	on
this	DT	this
so	RB	so
called	VBN	call
horror	NN	horror
flick	VB	flick
Its	PP$	its
not	RB	not
scary	JJ	scary
its	PP$	its
not	RB	not
funny	JJ	funny
its	PP$	its
not	RB	not
dramatic	JJ	dramatic
its	PP$	its
no	DT	no
action	NN	action
its	PP$	its
nothing	NN	nothing
Its	PP$	its
predictable	JJ	predictable
its	PP$	its
boring	VBG	bore
its	PP$	its
tragic	JJ	tragic
I	NN	I
might	MD	might
come	VB	come
of	IN	of
a	DT	a
bit	NN	bit
harsh	JJ	harsh
here	RB	here
but	CC	but
watch	VB	watch
this	DT	this
movie	NN	movie
and	CC	and
you	PP	you
will	MD	will
feel	VB	feel
the	DT	the
same	JJ	same
way	NN	way
or	CC	or
no	RB	no
do	VBP	do
n't	RB	n't
watch	VB	watch
it	PP	it
unless	IN	unless
you	PP	you
want	VBP	want
to	TO	to
feel	VB	feel
violated	VBN	violate
also	RB	also
