OH	UH	oh
MY	NP	My
GOD	NP	God
THE	NP	THE
WORST	NP	<unknown>
SH	NP	SH
T	NN	T
I'VE	NP	<unknown>
EVER	NP	<unknown>
SEEN	NP	Seen
this	DT	this
is	VBZ	be
the	DT	the
main	JJ	main
thought	NN	thought
which	WDT	which
came	VBD	come
into	IN	into
my	PP$	my
mind	NN	mind
right	NN	right
after	IN	after
watching	VBG	watch
the	DT	the
movie	NN	movie
And	CC	and
I	PP	I
really	RB	really
do	VBP	do
not	RB	not
understand	VB	understand
anybody	NN	anybody
with	IN	with
opposite	JJ	opposite
myth	NN	myth
Though	IN	though
maybe	RB	maybe
the	DT	the
idea	NN	idea
was	VBD	be
good	JJ	good
but	CC	but
the	DT	the
effect	NN	effect
miserable	JJ	miserable
I	PP	I
especially	RB	especially
mean	VBP	mean
the	DT	the
role	NN	role
of	IN	of
H	NP	H
Graham	NP	Graham
What	WP	What
was	VBD	be
that	IN	that
In	IN	in
my	PP$	my
opinion	NN	opinion
it	PP	it
has	VBZ	have
destroyed	VBN	destroy
all	DT	all
positive	JJ	positive
intentions	NNS	intention
of	IN	of
producers	NNS	producer
The	DT	the
character	NN	character
was	VBD	be
played	VBN	play
in	IN	in
affected	JJ	affected
and	CC	and
annoying	VBG	annoy
way	NN	way
Every	DT	every
time	NN	time
she	PP	she
appears	VBZ	appear
it	PP	it
reminds	VBZ	remind
that	IN	that
you	PP	you
'	''	'
re	IN	re
watching	VBG	watch
a	DT	a
movie	NN	movie
and	CC	and
is	VBZ	be
destroying	VBG	destroy
a	DT	a
spirit	NN	spirit
of	IN	of
the	DT	the
moment	NN	moment
then	RB	then
whole	JJ	whole
movie	NN	movie
because	IN	because
the	DT	the
most	JJS	most
time	NN	time
what	WP	what
you	PP	you
can	MD	can
see	VB	see
there	EX	there
are	VBP	be
her	PP$	her
stupid	JJ	stupid
faces	NNS	face
with	IN	with
more	JJR	more
stupid	JJ	stupid
attempts	NNS	attempt
to	TO	to
create	VB	create
the	DT	the
emotion	NN	emotion
TERRIBLE	NN	<unknown>
do	VBP	do
n't	RB	n't
waste	VB	waste
your	PP$	your
time	NN	time
