another	DT	another
aussie	NN	Aussie
masterpiece	NN	masterpiece
delves	VBZ	delve
world	NN	world
unknown	NN	unknown
supernatural	JJ	supernatural
does	VBZ	do
very	RB	very
well	RB	well
does	VBZ	do
n't	RB	n't
resort	VB	resort
big	JJ	big
special	JJ	special
effects	NNS	effect
overkill	NN	overkill
like	IN	like
american	JJ	American
flicks	NNS	flick
focuses	VBZ	focus
more	RBR	more
emotional	JJ	emotional
impact	NN	impact
relatively	RB	relatively
simple	JJ	simple
plot	NN	plot
rebecca	NN	<unknown>
gibney	NN	<unknown>
bring	VBP	bring
life	NN	life
follows	VBZ	follow
story	NN	story
couple	NN	couple
buy	VB	buy
old	JJ	old
house	NN	house
supposedly	RB	supposedly
home	RB	home
very	RB	very
old	JJ	old
woman	NN	woman
never	RB	never
went	VBD	go
outside	JJ	outside
husband	NN	husband
disappeared	VBD	disappear
mysterious	JJ	mysterious
circumstances	NNS	circumstance
century	NN	century
ago	RB	ago
strange	JJ	strange
things	NNS	thing
begin	VBP	begin
happen	VB	happen
house	NN	house
john	NN	john
adam	NN	<unknown>
begins	VBZ	begin
turn	NN	turn
man	NN	man
disappeared	VBD	disappear
actually	RB	actually
mass	JJ	mass
murderer	NN	murderer
highly	RB	highly
recommended	VBD	recommend
8	CD	8
10	CD	@card@
