verhoeven	NP	Verhoeven
's	POS	's
utter	JJ	utter
complete	JJ	complete
garbage	NN	garbage
he	PP	he
's	VBZ	be
disgusting	VBG	disgust
hack	JJ	hack
director	NN	director
ashamed	JJ	ashamed
admission	NN	admission
read	VBD	read
2	CD	2
chapters	NNS	chapter
book	NN	book
got	VBD	get
bored	JJ	bored
decided	VBD	decide
make	VB	make
whole	JJ	whole
thing	NN	thing
up	IN	up
scratch	NN	scratch
heinlein	NN	<unknown>
never	RB	never
supported	VBD	support
trash	NN	trash
he	PP	he
'd	MD	will
alive	RB	alive
it	PP	it
basically	RB	basically
steals	VBZ	steal
mocks	NNS	mock
politics	NNS	politics
book	NN	book
good	JJ	good
portion	NN	portion
throws	VBZ	throw
t	NN	t
average	JJ	average
idiot	NN	idiot
american	NN	American
moviegoer	NN	moviegoer
does	VBZ	do
n't	RB	n't
bored	JJ	bored
anime	NN	<unknown>
is	VBZ	be
n't	RB	n't
perfect	JJ	perfect
but	CC	but
it	PP	it
's	POS	's
least	JJS	least
mostly	RB	mostly
accurate	JJ	accurate
as	IN	as
best	JJS	good
tell	VB	tell
