one	CD	one
ova	NNS	ovum
's	POS	's
"	``	"
original	JJ	original
video	NN	video
animation	NN	animation
"	``	"
bought	VBD	buy
still	RB	still
favourite	JJ	favourite
anime	NN	<unknown>
titles	NNS	title
cyberpunk	JJ	<unknown>
sci	NP	<unknown>
fi	NP	<unknown>
action	NN	action
comedy	NN	comedy
set	VBN	set
against	IN	against
unlikely	JJ	unlikely
comedy	NN	comedy
background	NN	background
near	IN	near
future	JJ	future
pollution	NN	pollution
dystopian	NN	<unknown>
society	NN	society
"	``	"
heroes	NNS	hero
"	''	"
dominion	NN	dominion
tank	NN	tank
police	NN	police
formed	VBN	form
"	''	"
if	IN	if
ca	MD	ca
n't	RB	n't
beat	VB	beat
crime	NN	crime
we	PP	we
'll	MD	will
bigger	JJR	big
guns	NNS	gun
"	''	"
philosophy	NN	philosophy
like	IN	like
suggests	VBZ	suggest
patrolling	VBG	patrol
city	NN	city
tanks	NNS	tank
instead	RB	instead
patrol	VBP	patrol
cars	NNS	car
actually	RB	actually
far	RB	far
more	RBR	more
dangerous	JJ	dangerous
than	IN	than
any	DT	any
criminals	NNS	criminal
trying	VBG	try
catch	VB	catch
most	RBS	most
not	RB	not
all	RB	all
cops	VBZ	cop
borderline	JJ	borderline
psychopaths	NNS	psychopath
neurotics	NNS	neurotic
giving	VBG	give
new	JJ	new
meaning	NN	meaning
phrase	NN	phrase
"	''	"
loose	JJ	loose
cannons	NNS	cannon
"	``	"
equally	RB	equally
colourful	JJ	colourful
amusing	JJ	amusing
adversaries	NNS	adversary
terrorist	JJ	terrorist
buaku	NN	<unknown>
hench	NNS	<unknown>
wo	MD	wo
men	NNS	man
twin	VB	twin
cat	NN	cat
sisters	NNS	sister
existence	NN	existence
always	RB	always
involve	VBP	involve
giving	VBG	give
tank	NN	tank
police	NNS	police
hard	JJ	hard
time	NN	time
animation	NN	animation
not	RB	not
state	NN	state
art	NN	art
but	CC	but
it	PP	it
's	VBZ	be
very	RB	very
nice	JJ	nice
colourful	JJ	colourful
palette	NN	palette
cartoonish	JJ	cartoonish
look	NN	look
characters	NNS	character
mecha	NN	<unknown>
fit	VBP	fit
nicely	RB	nicely
comedic	JJ	comedic
atmosphere	NN	atmosphere
dominion	NN	dominion
english	JJ	English
dubbing	NN	dubbing
again	RB	again
lots	VBZ	lot
fun	NN	fun
soundtrack	NN	soundtrack
english	JJ	English
version	NN	version
very	RB	very
good	JJ	good
wonder	NN	wonder
soundtrack	NN	soundtrack
album	NN	album
dominion	NN	dominion
tank	NN	tank
police	NNS	police
great	JJ	great
it	PP	it
's	VBZ	be
japanese	JJ	Japanese
cyberpunk	NN	<unknown>
sf	NN	<unknown>
lots	NNS	lot
comedy	NN	comedy
filled	VBD	fill
completely	RB	completely
top	JJ	top
characters	NNS	character
situations	NNS	situation
making	VBG	make
sure	RB	sure
never	RB	never
takes	VBZ	take
itself	PP	itself
seriously	RB	seriously
highly	RB	highly
recommended	VBN	recommend
