an	DT	an
excellent	JJ	excellent
accurate	JJ	accurate
film	NN	film
mcgovern	NN	<unknown>
takes	VBZ	take
great	JJ	great
pains	NNS	pain
research	NN	research
document	NN	document
writing	NN	writing
pays	VBZ	pay
not	RB	not
afraid	JJ	afraid
tell	NN	tell
truth	NN	truth
though	RB	though
draw	VB	draw
unfavourable	JJ	unfavourable
reviews	NNS	review
comments	NNS	comment
like	VBP	like
stories	NNS	storey
clean	VB	clean
sweet	JJ	sweet
glossy	JJ	glossy
again	RB	again
mcgovern	NN	<unknown>
brings	VBZ	bring
christopher	NN	<unknown>
eccleston	NN	<unknown>
though	RB	though
not	RB	not
as	IN	as
high	JJ	high
profile	NN	profile
role	NN	role
as	IN	as
played	VBN	play
hillsborough	NN	<unknown>
as	IN	as
accurate	JJ	accurate
well	NN	well
acted	VBD	act
well	RB	well
presented	VBN	present
as	IN	as
hillsborough	NNS	<unknown>
applaud	VBP	applaud
mcgovern	JJ	<unknown>
poignant	JJ	poignant
unapologetic	JJ	unapologetic
writing	NN	writing
well	RB	well
hat	NN	hat
writer	NN	writer
actors	NNS	actor
production	NN	production
crew	NN	crew
great	JJ	great
film	NN	film
