to	TO	to
review	VB	review
contain	VB	contain
spoilers	NNS	spoiler
but	CC	but
like	IN	like
watching	VBG	watch
no	DT	no
idea	NN	idea
going	NN	going
happen	VBP	happen
therefore	RB	therefore
think	VB	think
many	JJ	many
reviews	NNS	review
contain	VBP	contain
spoilers	NNS	spoiler
just	RB	just
watched	VBD	watch
again	RB	again
reiterate	VB	reiterate
best	JJS	good
ending	VBG	end
any	DT	any
ever	RB	ever
real	JJ	real
translation	NN	translation
'	''	'
the	DT	the
beating	NN	beating
butterfly	NN	butterfly
's	POS	's
wings	NNS	wing
'	''	'
oddly	RB	oddly
not	RB	not
used	VBN	use
as	IN	as
translated	VBN	translate
title	NN	title
suppose	VBP	suppose
thought	VBD	think
most	JJS	most
americans	NNS	American
would	MD	would
n't	RB	n't
know	VB	know
chaos	NN	chaos
theory	NN	theory
except	IN	except
saw	NN	saw
read	VBN	read
"	``	"
jurassic	JJ	Jurassic
park	NN	park
"	''	"
based	VBN	base
chaos	NN	chaos
theory	NN	theory
small	JJ	small
event	NN	event
affect	NN	affect
outcome	NN	outcome
seemingly	RB	seemingly
unrelated	JJ	unrelated
events	NNS	event
all	DT	all
lead	NN	lead
event	NN	event
whirlwind	JJ	whirlwind
wondrous	JJ	wondrous
cause	NN	cause
effect	NN	effect
as	IN	as
follow	NN	follow
chain	NN	chain
chaos	NN	chaos
as	RB	as
intertwines	VBZ	intertwine
characters	NNS	character
20	CD	@card@
way	NN	way
ending	VBG	end
inevitable	JJ	inevitable
despite	IN	despite
but	CC	but
think	VB	think
it	PP	it
perfect	JJ	perfect
ending	NN	ending
think	VBP	think
"	``	"
what	WP	what
needed	VBD	need
said	VBN	say
"	''	"
time	NN	time
very	RB	very
brave	JJ	brave
ending	VBG	end
too	RB	too
bad	JJ	bad
overseas	JJ	overseas
gem	NN	gem
like	IN	like
but	CC	but
ending	VBG	end
like	IN	like
never	RB	never
come	VBN	come
hollywood	NN	<unknown>
