this	DT	this
extremely	RB	extremely
funny	JJ	funny
like	IN	like
vintage	JJ	vintage
collection	NN	collection
1970s	NNS	1970s
again	RB	again
list	VBP	list
know	VB	know
cast	NN	cast
characters	NNS	character
people	NNS	people
met	VBD	meet
years	NNS	year
prompt	VB	prompt
search	NN	search
comedy	NN	comedy
unfortunately	RB	unfortunately
never	RB	never
dvd	JJ	<unknown>
vhs	NNS	<unknown>
redd	VBD	redd
foxx	NN	<unknown>
always	RB	always
clown	VB	clown
comedy	NN	comedy
pearl	NN	pearl
baily	RB	<unknown>
great	JJ	great
match	NN	match
as	IN	as
wife	NN	wife
witty	JJ	witty
sassy	JJ	sassy
norman	NN	Norman
son	NN	son
secret	NN	secret
not	RB	not
sure	JJ	sure
future	JJ	future
dennis	NN	<unknown>
dugan	NN	<unknown>
crazy	JJ	crazy
funny	JJ	funny
man	NN	man
miss	NN	miss
dobson	NN	<unknown>
hooker	NN	hooker
heart	NN	heart
little	JJ	little
conscience	NN	conscience
love	NN	love
lust	NN	lust
strange	JJ	strange
family	NN	family
ties	NNS	tie
qualifies	VBZ	qualify
come	VB	come
encore	NN	encore
performance	NN	performance
situation	NN	situation
comedy	NN	comedy
mix	NN	mix
events	NNS	event
as	IN	as
way	NN	way
as	IN	as
remake	NN	remake
think	VBP	think
finding	VBG	find
cast	NN	cast
extremely	RB	extremely
difficult	JJ	difficult
maybe	RB	maybe
impossible	JJ	impossible
except	IN	except
jerry	NN	jerry
seinfeld	NNS	<unknown>
playing	VBG	play
dennis	NP	Dennis
dugan	NP	Dugan
role	NN	role
earmarks	VBZ	earmark
couple	JJ	couple
seinfeld	NP	<unknown>
episodes	NNS	episode
brought	VBD	bring
norman	NN	Norman
keeping	VBG	keep
closest	JJS	close
surely	RB	surely
impossible	JJ	impossible
as	IN	as
impossible	JJ	impossible
reform	NN	reform
pretend	JJ	pretend
hooker	NN	hooker
girl	NN	girl
friend	NN	friend
infidelity	NN	infidelity
parent	NN	parent
wild	JJ	wild
ride	NN	ride
advise	VB	advise
cabbie	NN	cabbie
remind	VB	remind
episode	NN	episode
kramer	NN	<unknown>
takes	VBZ	take
advice	NN	advice
caddie	NN	caddie
lawyer	NN	lawyer
episode	NN	episode
seinfeld	NN	<unknown>
parents	NNS	parent
jaw	VBP	jaw
dropping	VBG	drop
moment	NN	moment
fun	NN	fun
fun	NN	fun
screaming	VBG	scream
bring	VB	bring
