a	DT	a
friend	NN	friend
recommended	VBD	recommend
citing	VBG	cite
vocal	JJ	vocal
inflective	JJ	inflective
similarities	NNS	similarity
des	NP	des
howl	NN	howl
movie	NN	movie
's	POS	's
main	JJ	main
character	NN	character
guess	NN	guess
extent	NN	extent
bit	VBD	bite
more	JJR	more
i	NNS	i
'm	VBP	be
not	RB	not
very	RB	very
sure	JJ	sure
not	RB	not
that	WDT	that
's	VBZ	be
flattering	VBG	flatter
portrayal	NN	portrayal
pretty	RB	pretty
unique	JJ	unique
work	NN	work
more	RBR	more
than	IN	than
glancing	VBG	glance
similarity	NN	similarity
true	JJ	true
romance	NN	romance
not	RB	not
content	JJ	content
style	NN	style
filming	VBG	film
pace	NN	pace
dialogue	NN	dialogue
whale	NN	whale
music	NN	music
just	RB	just
much	RB	much
more	RBR	more
well	RB	well
relaxed	VBN	relax
but	CC	but
instead	RB	instead
represent	VB	represent
modern	JJ	modern
love	NN	love
stories	NNS	storey
general	JJ	general
i	NP	i
'm	VBP	be
big	JJ	big
fan	NN	fan
canadian	JJ	Canadian
music	NN	music
musicians	NNS	musician
example	NN	example
highly	RB	highly
recommend	VBP	recommend
hard	JJ	hard
core	NN	core
logo	NN	logo
film	NN	film
particular	JJ	particular
innocent	JJ	innocent
charm	NN	charm
des	NP	des
not	RB	not
always	RB	always
most	JJS	most
likeably	NN	<unknown>
guy	NN	guy
but	CC	but
there	EX	there
's	VBZ	be
draws	NNS	draw
sterling	JJ	sterling
sort	NN	sort
empathy	NN	empathy
