yes	UH	yes
that	WDT	that
's	VBZ	be
right	RB	right
firmly	RB	firmly
believe	VBP	believe
n64	JJ	<unknown>
weird	JJ	weird
looking	VBG	look
controller	NN	controller
designed	VBN	design
just	RB	just
game	NN	game
amazing	JJ	amazing
time	NN	time
saw	VBD	see
huge	JJ	huge
environments	NNS	environment
colorful	JJ	colorful
characters	NNS	character
amazing	JJ	amazing
play	NN	play
control	NN	control
perfect	JJ	perfect
graphics	NNS	graphics
beautiful	JJ	beautiful
nintendo	NP	Nintendo
charm	NN	charm
always	RB	always
intangible	JJ	intangible
but	CC	but
undeniably	RB	undeniably
any	DT	any
n64	JJ	<unknown>
owner	NN	owner
reason	NN	reason
n64	NN	<unknown>
