at	IN	at
doing	VBG	do
great	JJ	great
characters	NNS	character
profiles	NNS	profile
set	VBD	set
plot	NN	plot
going	VBG	go
right	JJ	right
direction	NN	direction
however	RB	however
as	RB	as
progressed	VBN	progress
director	NN	director
focused	VBD	focus
wrong	JJ	wrong
kind	NN	kind
things	NNS	thing
just	RB	just
lot	RB	lot
edited	VBN	edit
the	DT	the
characters	NNS	character
'	POS	'
identities	NNS	identity
changed	VBD	change
worse	JJR	bad
lot	NN	lot
implicit	JJ	implicit
meaning	VBG	mean
words	NNS	word
things	NNS	thing
did	VBD	do
n't	RB	n't
fit	VB	fit
itself	PP	itself
title	NN	title
no	RB	no
does	VBZ	do
title	NN	title
fit	NN	fit
suppose	VBP	suppose
title	NN	title
works	VBZ	work
previews	NNS	preview
actors	NNS	actor
did	VBD	do
well	RB	well
they	PP	they
better	JJR	good
director	NN	director
writer	NN	writer
maybe	RB	maybe
worked	VBD	work
better	JJR	good
but	CC	but
did	VBD	do
n't	RB	n't
there	EX	there
's	VBZ	be
new	JJ	new
terrible	JJ	terrible
coming	VBG	come
friday	NN	Friday
opinion	NN	opinion
do	VBP	do
n't	RB	n't
waste	VB	waste
time	NN	time
money	NN	money
