the	DT	the
second	JJ	second
fight	NN	fight
series	NN	series
concentrates	VBZ	concentrate
hitler	NN	<unknown>
's	POS	's
grab	NN	grab
sudetanland	NN	<unknown>
as	RB	as
makes	VBZ	make
chump	NN	chump
neville	NN	<unknown>
chamberlain	NN	chamberlain
embarks	VBZ	embark
conquest	NN	conquest
europe	NN	<unknown>
clearly	RB	clearly
meant	VBN	mean
as	IN	as
propaganda	NN	propaganda
day	NN	day
series	NN	series
test	NN	test
time	NN	time
informative	JJ	informative
documentary	NN	documentary
as	RB	as
well	RB	well
most	JJS	most
"	''	"
allied	JJ	allied
bias	NN	bias
"	''	"
turning	VBG	turn
historical	JJ	historical
fact	NN	fact
fuhrer	NN	<unknown>
hoists	VBZ	hoist
himself	PP	himself
petard	NN	petard
smug	JJ	smug
pronouncements	NNS	pronouncement
people	NNS	people
world	NN	world
as	RB	as
says	VBZ	say
thing	NN	thing
does	VBZ	do
as	IN	as
army	NN	army
moves	VBZ	move
east	JJ	east
czechs	NNS	Czech
austrians	NNS	Austrian
quickly	RB	quickly
capitulate	VBP	capitulate
but	CC	but
poles	VBZ	pole
up	RP	up
heroic	JJ	heroic
struggle	NN	struggle
against	IN	against
overwhelming	JJ	overwhelming
odds	NNS	odd
disparity	NN	disparity
hitler	NN	<unknown>
's	POS	's
military	JJ	military
chamberlain	NN	chamberlain
waving	VBG	wave
munich	NN	<unknown>
treaty	NN	treaty
like	IN	like
white	JJ	white
flag	NN	flag
declaring	VBG	declare
"	``	"
peace	NN	peace
time	NN	time
"	''	"
day	NN	day
durable	JJ	durable
propaganda	NN	propaganda
qualities	NNS	quality
original	JJ	original
context	NN	context
resonates	VBZ	resonate
more	RBR	more
powerfully	RB	powerfully
as	IN	as
darkness	NN	darkness
world	NN	world
war	NN	war
ll	NN	<unknown>
sets	VBZ	set
europe	JJ	<unknown>
leaving	VBG	leave
american	NN	American
viewer	NN	viewer
options	NNS	option
freedom	NN	freedom
slavery	NN	slavery
1943	CD	@card@
no	RB	no
evading	VBG	evade
simple	JJ	simple
truth	NN	truth
nazis	NN	<unknown>
strike	NN	strike
makes	VBZ	make
point	NN	point
effectively	RB	effectively
