me	PP	me
sister	NN	sister
use	NN	use
rent	NN	rent
time	NN	time
got	VBD	get
parents	NNS	parent
mad	VB	mad
but	CC	but
let	VB	let
anyways	RB	anyways
love	NN	love
ca	MD	ca
n't	RB	n't
lives	VBZ	live
near	IN	near
knows	VBZ	know
talking	VBG	talk
i	NNS	i
'm	VBP	be
glad	JJ	glad
i	NNS	i
'm	VBP	be
not	RB	not
loved	VBN	love
wish	NN	wish
dvd	NNS	<unknown>
love	VBP	love
watch	VB	watch
just	RB	just
bc	NN	bc
loved	VBD	love
much	RB	much
as	IN	as
little	JJ	little
kid	NN	kid
i	NNS	i
'm	VBP	be
15	CD	@card@
remember	VBP	remember
much	JJ	much
thats	NNS	<unknown>
got	VBD	get
little	JJ	little
bunny	NN	bunny
fufu	NN	<unknown>
song	NN	song
all	DT	all
friends	NNS	friend
know	VBP	know
song	NN	song
but	CC	but
not	RB	not
think	VBP	think
little	JJ	little
girl	NN	girl
got	VBD	get
sliding	VBG	slide
slide	NN	slide
little	JJ	little
playground	NN	playground
thing	NN	thing
