if	IN	if
you	PP	you
're	VBP	be
fan	NN	fan
either	CC	either
chuck	NN	chuck
norris	NN	<unknown>
judson	NN	<unknown>
mills	NNS	mill
lot	RB	lot
adventure	VBP	adventure
it	PP	it
great	RB	great
follow	VB	follow
up	RP	up
president	NN	president
's	POS	's
man	NN	man
chemistry	NN	chemistry
main	JJ	main
stars	NNS	star
chuck	VBP	chuck
norris	NN	<unknown>
judson	NN	<unknown>
mills	NNS	mill
jennifer	VBP	<unknown>
tung	JJ	<unknown>
incredible	JJ	incredible
personal	JJ	personal
opinion	NN	opinion
original	NN	original
turned	VBD	turn
well	RB	well
networks	NNS	network
consider	VBP	consider
turning	VBG	turn
regular	JJ	regular
series	NN	series
you	PP	you
've	VBP	have
seen	VBN	see
president	NN	president
's	POS	's
man	NN	man
recommend	VBP	recommend
you	PP	you
've	VBP	have
seen	VBN	see
president	NN	president
's	POS	's
man	NN	man
line	NN	line
sand	NN	sand
but	CC	but
have	VBP	have
n't	RB	n't
seen	VBN	see
president	NN	president
's	POS	's
man	NN	man
let	VBD	let
suggest	VB	suggest
you	PP	you
not	RB	not
disappointed	VBD	disappoint
either	DT	either
