come	VB	come
people	NNS	people
better	JJR	good
than	IN	than
4	CD	4
happening	VBG	happen
wealthy	JJ	wealthy
people	NNS	people
crazier	JJR	crazy
things	NNS	thing
than	IN	than
funny	JJ	funny
watch	NN	watch
comedy	NN	comedy
entertained	VBD	entertain
escape	NN	escape
pressures	NNS	pressure
world	NN	world
short	RB	short
while	IN	while
not	RB	not
to	TO	to
too	RB	too
seriously	RB	seriously
fully	RB	fully
suits	VBZ	suit
purpose	NN	purpose
judge	NN	judge
merits	NNS	merit
not	RB	not
compare	VBP	compare
surviving	VBG	survive
christmas	NNS	<unknown>
blazing	VBG	blaze
saddles	NNS	saddle
watched	VBD	watch
totally	RB	totally
dysfunctional	JJ	dysfunctional
people	NNS	people
grow	VBP	grow
caring	VBG	care
likable	JJ	likable
individuals	NNS	individual
easily	RB	easily
live	VBP	live
street	NN	street
home	NN	home
remain	VBP	remain
list	NN	list
"	``	"
favorite	JJ	favorite
watch	NN	watch
holiday	NN	holiday
season	NN	season
"	``	"
just	RB	just
want	VBP	want
fun	NN	fun
90	CD	@card@
minutes	NNS	minute
watch	VBP	watch
