its	PP$	its
good	JJ	good
thing	NN	thing
rented	VBD	rent
seeing	VBG	see
viewer	NN	viewer
rating	NN	rating
site	NN	site
wonderful	JJ	wonderful
adding	VBG	add
christmas	NNS	<unknown>
selection	NN	selection
cast	VBD	cast
wonderfully	RB	wonderfully
chosen	VBN	choose
ben	NP	ben
affleck	NN	<unknown>
plays	VBZ	play
good	JJ	good
leading	VBG	lead
role	NN	role
tell	VB	tell
viewers	NNS	viewer
not	RB	not
seen	VBN	see
ahead	RB	ahead
buy	VB	buy
rate	NN	rate
right	NN	right
up	IN	up
christmas	NNS	<unknown>
vacation	VBP	vacation
very	RB	very
funny	JJ	funny
well	RB	well
written	VBN	write
ben	NN	ben
plays	VBZ	play
eccentric	JJ	eccentric
rich	JJ	rich
executive	NN	executive
very	RB	very
well	RB	well
things	NNS	thing
says	VBZ	say
does	VBZ	do
just	RB	just
imagine	VB	imagine
person	NN	person
too	RB	too
much	JJ	much
money	NN	money
act	NN	act
much	RB	much
funnier	JJR	funny
than	IN	than
santa	NN	<unknown>
claus	NNS	<unknown>
christmas	NNS	<unknown>
kranks	NNS	<unknown>
plus	CC	plus
good	JJ	good
story	NN	story
line	NN	line
teaches	VBZ	teach
true	JJ	true
meaning	NN	meaning
christmas	NNS	<unknown>
ca	MD	ca
n't	RB	n't
buy	VB	buy
love	NN	love
money	NN	money
