what	WP	what
expect	VBP	expect
film	NN	film
titled	VBD	title
'	''	'
surviving	VBG	survive
christmas'and	NN	<unknown>
presented	VBN	present
as	IN	as
'	''	'
festive	JJ	festive
fun	NN	fun
'	''	'
like	IN	like
ghandi	NNS	<unknown>
english	JJ	English
patient	NN	patient
lots	NNS	lot
things	NNS	thing
love	VBP	love
film	NN	film
it	PP	it
's	VBZ	be
funny	JJ	funny
very	RB	very
well	RB	well
cast	VB	cast
superbly	RB	superbly
written	VBN	write
came	VBD	come
film	NN	film
as	IN	as
kaplan	JJ	<unknown>
elfort	NN	<unknown>
fan	NN	fan
but	CC	but
dubious	JJ	dubious
read	NN	read
plot	NN	plot
sounded	VBD	sound
ridiculous	JJ	ridiculous
but	CC	but
film	NN	film
does	VBZ	do
n't	RB	n't
come	VB	come
like	IN	like
affleck	NN	<unknown>
as	RB	as
drew	VBD	draw
latham	NP	Latham
plays	VBZ	play
perfectly	RB	perfectly
minute	JJ	minute
child	NN	child
like	IN	like
adult	JJ	adult
mature	JJ	mature
man	NN	man
realises	VBZ	realise
gained	VBN	gain
life	NN	life
apart	RB	apart
really	RB	really
wants	VBZ	want
fact	NN	fact
latham	NN	<unknown>
grow	VB	grow
up	RP	up
film	NN	film
encounters	VBZ	encounter
problems	NNS	problem
envies	NNS	envy
realises	VBZ	realise
lives	NNS	life
not	RB	not
good	RB	good
sees	VBZ	see
lot	RB	lot
not	RB	not
bad	JJ	bad
film	NN	film
fewer	JJR	few
weak	JJ	weak
dud	NN	dud
scenes	NNS	scene
than	IN	than
many	JJ	many
comedies	NNS	comedy
seen	VBN	see
comedy	NN	comedy
much	RB	much
harder	RBR	harder
than	IN	than
any	DT	any
type	NN	type
drama	NN	drama
either	CC	either
works	NNS	work
does	VBZ	do
n't	RB	n't
very	RB	very
few	JJ	few
comedy	NN	comedy
writers	NNS	writer
correct	JJ	correct
time	NN	time
particularly	RB	particularly
loved	VBD	love
drama	NN	drama
scene	NN	scene
family	NN	family
reading	NN	reading
parts	NNS	part
written	VBN	write
latham	NP	Latham
pleasure	NN	pleasure
reaction	NN	reaction
tom	NN	tom
valco	NN	<unknown>
james	VBZ	<unknown>
gandolfini	NN	<unknown>
comments	NNS	comment
brian	JJ	<unknown>
valco	NP	<unknown>
josh	NN	josh
zuckerman	NN	<unknown>
dilemma	NN	dilemma
greedy	JJ	greedy
tom	NN	tom
valco	NN	<unknown>
bite	NN	bite
tongue	NN	tongue
wear	VBP	wear
silly	JJ	silly
hats	NNS	hat
sing	VBP	sing
christmas	NNS	<unknown>
tree	NN	tree
order	NN	order
earn	VBP	earn
prize	NN	prise
money	NN	money
keeps	VBZ	keep
film	NN	film
moving	VBG	move
well	RB	well
addition	NN	addition
daughter	NN	daughter
alicia	NN	<unknown>
christina	NN	<unknown>
applegate	NN	<unknown>
story	NN	story
brings	VBZ	bring
delightful	JJ	delightful
romantic	JJ	romantic
angle	NN	angle
not	RB	not
christmas	NN	Christmas
film	NN	film
course	NN	course
corny	JJ	corny
contrived	VBD	contrive
he	PP	he
's	VBZ	be
rich	JJ	rich
handsome	JJ	handsome
she	PP	she
's	VBZ	be
beautiful	JJ	beautiful
single	JJ	single
inevitably	RB	inevitably
afflect	JJ	<unknown>
end	NN	end
up	IN	up
falling	VBG	fall
snow	NN	snow
finding	VBG	find
face	NN	face
face	NN	face
great	JJ	great
thing	NN	thing
liked	VBD	like
more	RBR	more
use	VB	use
festive	JJ	festive
music	NN	music
boost	NN	boost
atmosphere	NN	atmosphere
but	CC	but
ca	MD	ca
n't	RB	n't
really	RB	really
complain	VB	complain
got	VBN	get
wanted	JJ	wanted
