five	CD	five
deadly	JJ	deadly
venoms	NNS	venom
not	RB	not
as	IN	as
bloody	JJ	bloody
violent	JJ	violent
as	IN	as
story	NN	story
ricky	JJ	<unknown>
super	JJ	super
ninjas	NNS	<unknown>
but	CC	but
features	VBZ	feature
best	JJS	good
hand	NN	hand
hand	NN	hand
fight	NN	fight
sequences	NNS	sequence
hong	NN	hong
kong	NP	Kong
film	NN	film
history	NN	history
director	NN	director
chang	NN	<unknown>
cheh	NN	<unknown>
creates	VBZ	create
considered	VBN	consider
many	JJ	many
masterpiece	NN	masterpiece
launched	VBD	launch
careers	NNS	career
men	NNS	man
play	VBP	play
venoms	NNS	venom
meng	NN	<unknown>
lo	NN	<unknown>
plays	VBZ	play
yet	RB	yet
bad	JJ	bad
ass	NN	ass
super	JJ	super
ninjas	NP	<unknown>
kuo	NN	<unknown>
chui	NN	<unknown>
philip	NN	<unknown>
kwok	NN	<unknown>
story	NN	story
ricky	NN	<unknown>
hard	RB	hard
boiled	VBD	boil
any	DT	any
chop	NN	chop
socky	JJ	<unknown>
fan	NN	fan
apperciate	NN	<unknown>
but	CC	but
still	RB	still
think	VBP	think
ai	VBP	ai
n't	RB	n't
as	RB	as
good	JJ	good
as	IN	as
super	JJ	super
ninjas	NNS	<unknown>
chang	NN	<unknown>
cheh	NN	<unknown>
but	CC	but
all	DT	all
chop	NN	chop
socky	NN	<unknown>
good	RB	good
very	RB	very
best	JJS	good
