when	WRB	when
very	RB	very
young	JJ	young
local	JJ	local
tv	NN	tv
station	NN	station
kung	NP	kung
fu	NP	fu
all	DT	all
kinds	NNS	kind
saturdays	NNS	Saturday
saw	VBD	see
lots	NNS	lot
kung	NP	kung
fu	NP	fu
weekends	NNS	weekend
remember	VBP	remember
lots	NNS	lot
saw	VBD	see
great	JJ	great
flicks	NNS	flick
like	IN	like
crippled	JJ	crippled
masters	NNS	master
blind	JJ	blind
fist	NN	fist
bruce	NN	<unknown>
kung	NP	kung
fu	NP	fu
zombie	NN	zombie
shaolin	NN	<unknown>
drunken	JJ	drunken
monk	NN	monk
rage	NN	rage
master	NN	master
tattoe	NN	<unknown>
dragon	NN	dragon
deadly	JJ	deadly
venoms	NNS	venom
remember	VBP	remember
day	NN	day
clearly	RB	clearly
dad	NN	dad
just	RB	just
gotten	VBN	get
lunch	NN	lunch
burger	NN	burger
king	NN	king
racing	VBG	race
home	NN	home
saturday	NN	Saturday
ran	VBD	run
house	NN	house
jumped	VBD	jump
couch	NN	couch
turned	VBD	turn
set	NN	set
flicked	VBD	flick
56	CD	@card@
usual	JJ	usual
intro	NN	intro
many	JJ	many
kung	NP	kung
fu	NP	fu
clips	VBZ	clip
background	NN	background
words	NNS	word
kung	NP	kung
fu	NP	fu
saturday	NN	Saturday
under	IN	under
title	NN	title
film	NN	film
said	VBD	say
deadly	JJ	deadly
venoms	NNS	venom
began	VBD	begin
bit	NN	bit
burger	NN	burger
amused	JJ	amused
pre	NN	<unknown>
credit	NN	credit
sequence	NN	sequence
loved	VBD	love
minute	NN	minute
came	VBD	come
favorite	JJ	favorite
character	NN	character
toad	NN	toad
venom	NN	venom
plot	VBP	plot
hard	RB	hard
follow	VB	follow
age	NN	age
but	CC	but
was	VBD	be
n't	RB	n't
lured	VBN	lure
fighting	VBG	fight
fights	NNS	fight
amazing	JJ	amazing
moaned	VBN	moan
time	NN	time
commercial	NN	commercial
came	VBD	come
soon	RB	soon
2	CD	2
hours	NNS	hour
best	RBS	well
seen	VBN	see
ended	VBN	end
