wow	VBP	wow
greatest	JJS	great
ever	RB	ever
seen	VBN	see
absolutely	RB	absolutely
loved	VBD	love
opening	NN	opening
credits	NNS	credit
glued	VBD	glue
screen	VB	screen
it	PP	it
's	POS	's
sci	NN	<unknown>
fi	NN	<unknown>
thriller	NN	thriller
edge	NN	edge
seat	NN	seat
whodunnit	NN	whodunnit
incredible	JJ	incredible
wish	NN	wish
'd	MD	will
never	RB	never
end	VB	end
lucy	NN	<unknown>
liu	NN	<unknown>
throwaway	JJ	throwaway
role	NN	role
played	VBD	play
lead	JJ	lead
actor	NN	actor
jeremy	NN	<unknown>
northram	NN	<unknown>
perfect	JJ	perfect
geeky	JJ	<unknown>
guy	NN	guy
appeals	NNS	appeal
loved	VBD	love
war	NN	war
games	NNS	game
sneakers	NN	sneakers
track	NN	track
incredible	JJ	incredible
8	CD	8
22	CD	@card@
06	CD	@card@
walt	NNS	<unknown>
d	SYM	d
lv	NP	<unknown>
