who	WP	who
likes	VBZ	like
awful	JJ	awful
"	``	"
comedy	NN	comedy
"	''	"
shows	NNS	show
like	IN	like
little	JJ	little
mosque	NN	mosque
prairie	NN	prairie
kinds	NNS	kind
people	NNS	people
think	VBP	think
watch	NN	watch
muslims	NN	<unknown>
self	NN	self
proclaimed	VBD	proclaim
liberal	JJ	liberal
defenders	NNS	defender
ethnic	JJ	ethnic
group	NN	group
thrilled	VBN	thrill
muslims	NN	<unknown>
does	VBZ	do
n't	RB	n't
matter	VB	matter
good	JJ	good
funny	NN	funny
all	DT	all
not	RB	not
old	JJ	old
people	NNS	people
people	NNS	people
idea	NN	idea
comedy	NN	comedy
incredibly	RB	incredibly
predictable	JJ	predictable
badly	RB	badly
written	VBN	write
stale	JJ	stale
jokes	NNS	joke
cbc	NN	<unknown>
needs	VBZ	need
really	RB	really
look	VB	look
doing	VBG	do
audience	NN	audience
writing	VBG	write
comedy	NN	comedy
really	RB	really
old	JJ	old
people	NNS	people
guess	VBP	guess
happen	VB	happen
audience	NN	audience
die	VB	die
soon	RB	soon
no	DT	no
audience	NN	audience
left	VBD	leave
i	NP	i
'd	VBD	have
curious	JJ	curious
writes	VBZ	write
think	VB	think
it	PP	it
's	VBZ	be
actually	RB	actually
muslims	VBG	<unknown>
hip	JJ	hip
funny	JJ	funny
young	JJ	young
people	NNS	people
no	RB	no
bet	VBP	bet
old	JJ	old
white	JJ	white
guys	NNS	guy
writing	VBG	write
jokes	NNS	joke
kind	NN	kind
bad	JJ	bad
cbc	NN	<unknown>
shows	VBZ	show
1960	CD	@card@
's	POS	's
look	NN	look
cbc	NN	<unknown>
comedy	NN	comedy
shows	VBZ	show
air	NN	air
farce	NN	farce
finally	RB	finally
just	RB	just
taken	VBN	take
air	NN	air
thank	VBP	thank
goodness	NN	goodness
but	CC	but
still	RB	still
lame	JJ	lame
ducks	NNS	duck
like	IN	like
hour	NN	hour
22	CD	@card@
minutes	NNS	minute
rick	VBP	rick
mercer	NN	mercer
paying	VBG	pay
not	RB	not
mention	VB	mention
poor	JJ	poor
excuse	NN	excuse
"	``	"
comedy	NN	comedy
"	''	"
little	JJ	little
mosque	NN	mosque
prairie	NN	prairie
supposed	VBN	suppose
offencive	JJ	<unknown>
funny	JJ	funny
cbc	NN	<unknown>
think	VBP	think
lame	VB	lame
all	DT	all
offencive	JJ	<unknown>
funny	JJ	funny
shame	NN	shame
cbc	NN	<unknown>
squandering	VBG	squander
tax	NN	tax
dollars	NNS	dollar
shows	VBZ	show
few	JJ	few
people	NNS	people
bother	VBP	bother
watching	VBG	watch
