after	IN	after
success	NN	success
scooby	NN	<unknown>
doo	NN	<unknown>
decided	VBD	decide
scooby	JJ	<unknown>
shaggy	JJ	shaggy
but	CC	but
unfortunately	RB	unfortunately
added	VBD	add
new	JJ	new
character	NN	character
spoilt	VBD	spoil
scooby	JJ	<unknown>
doo	NN	<unknown>
success	NN	success
forever	RB	forever
invented	VBD	invent
new	JJ	new
new	JJ	new
title	NN	title
scooby	NN	<unknown>
scrappy	JJ	scrappy
doo	NN	<unknown>
scrappy	JJ	scrappy
doo	NN	<unknown>
complete	JJ	complete
failure	NN	failure
probably	RB	probably
adults	NNS	adult
kids	NNS	kid
scrappy	JJ	scrappy
stupid	JJ	stupid
brave	JJ	brave
puppy	NN	puppy
always	RB	always
looked	VBD	look
ready	RB	ready
beat	VB	beat
up	RP	up
scooby	JJ	<unknown>
shaggy	JJ	shaggy
getting	VBG	get
scared	JJ	scared
villain	NN	villain
trying	VBG	try
stop	NN	stop
scooby	NN	<unknown>
doo	NN	<unknown>
does	VBZ	do
n't	RB	n't
need	VB	need
any	DT	any
little	JJ	little
annoying	VBG	annoy
bastard	JJ	bastard
puppy	NN	puppy
nephews	NNS	nephew
wanted	VBD	want
scooby	JJ	<unknown>
doo	NN	<unknown>
more	RBR	more
successful	JJ	successful
either	CC	either
killed	VBN	kill
never	RB	never
thought	VBD	think
up	RP	up
scrappy	JJ	scrappy
just	RB	just
poor	JJ	poor
maybe	RB	maybe
kids	NNS	kid
prefer	VBP	prefer
