disney	NP	Disney
happened	VBD	happen
really	RB	really
wish	VB	wish
set	VB	set
60	CD	@card@
's	POS	's
like	JJ	like
book	NN	book
really	RB	really
dealt	VBD	deal
cheap	JJ	cheap
special	JJ	special
effects	NNS	effect
order	NN	order
save	IN	save
budget	NN	budget
more	RBR	more
accurate	JJ	accurate
adaption	NN	adaption
i	NNS	i
'm	VBP	be
glad	JJ	glad
maybe	RB	maybe
influenced	VBN	influence
read	NN	read
books	NNS	book
but	CC	but
man	NN	man
red	NN	red
eyes	NNS	eye
interchangeable	JJ	interchangeable
as	IN	as
what	WP	what
's	VBZ	be
up	RB	up
volcanic	JJ	volcanic
upheaval	NN	upheaval
book	NN	book
peter	NN	peter
jackson	NN	<unknown>
save	IN	save
long	JJ	long
time	NN	time
ago	RB	ago
1978	CD	@card@
heard	VBD	hear
european	JJ	European
version	NN	version
film	NN	film
sure	JJ	sure
wish	NN	wish
id	NN	id
imagine	VB	imagine
closer	RBR	closer
real	JJ	real
story	NN	story
than	IN	than
poor	JJ	poor
adaption	NN	adaption
needs	VBZ	need
x	NN	x
'd	MD	will
