without	IN	without
wishing	VBG	wish
killjoy	NN	killjoy
brad	NN	brad
sykes	NNS	<unknown>
responsible	JJ	responsible
least	JJS	least
most	RBS	most
dull	JJ	dull
clichd	NN	<unknown>
films	NNS	film
i	NNS	i
've	VBP	have
seen	VBN	see
camp	NN	camp
blood	NN	blood
acting	VBG	act
terrible	JJ	terrible
print	NN	print
shoddy	JJ	shoddy
film	NN	film
screams	VBZ	scream
"	``	"
seriously	RB	seriously
better	VB	better
yourself	PP	yourself
"	``	"
maybe	RB	maybe
challenge	VB	challenge
to	TO	to
saturate	VB	saturate
youtube	NN	<unknown>
zombie	NN	zombie
related	JJ	related
crap	NN	crap
bought	VBD	buy
1	CD	1
but	CC	but
remember	VBP	remember
ca	MD	ca
n't	RB	n't
price	VB	price
71	CD	@card@
minutes	NNS	minute
life	NN	life
you	PP	you
'd	MD	will
well	RB	well
avoid	VB	avoid
turkey	NN	turkey
bargain	NN	bargain
basement	NN	basement
price	NN	price
