b	SYM	b
best	JJS	good
sound	JJ	sound
effects	NNS	effect
pretty	RB	pretty
good	JJ	good
lame	JJ	lame
concept	NN	concept
decent	JJ	decent
execution	NN	execution
suppose	VBP	suppose
it	PP	it
's	VBZ	be
rental	JJ	rental
"	''	"
you	PP	you
olive	JJ	olive
oil	NN	oil
mouth	NN	mouth
save	IN	save
poison	NN	poison
den	NN	den
cut	NN	cut
bite	NN	bite
suck	VBP	suck
poisen	NP	<unknown>
gonna	VBG	gonna
ok	VB	ok
tommy	NN	tommy
"	''	"
"	``	"
you	PP	you
stay	VBP	stay
airphone	NN	<unknown>
agent	NN	agent
harris	NN	<unknown>
calls	NNS	call
"	''	"
"	``	"
give	VB	give
extinguisher	NN	extinguisher
"	''	"
"	``	"
weapons	NNS	weapon
need	VBP	need
weapons	NNS	weapon
where	WRB	where
's	POS	's
silverware	NN	silverware
all	RB	all
sporks	VBZ	<unknown>
"	``	"
dr	NN	Dr
price	NN	price
snake	NN	snake
expert	NN	expert
local	JJ	local
ers	NNS	<unknown>
handle	VBP	handle
occasional	JJ	occasional
snakebite	NN	snakebite
alert	NN	alert
er	NN	<unknown>
tri	NN	<unknown>
city	NN	city
area	NN	area
