i	NP	i
was	VBD	be
n't	RB	n't
terribly	RB	terribly
impressed	JJ	impressed
dante	NN	<unknown>
's	POS	's
1st	JJ	1st
season	NN	season
offering	NN	offering
"	``	"
homecoming	NN	homecoming
"	''	"
was	VBD	be
n't	RB	n't
much	JJ	much
horror	NN	horror
story	NN	story
but	CC	but
smart	JJ	smart
political	JJ	political
statement	NN	statement
undead	NN	<unknown>
screwfly	NN	<unknown>
situation	NN	situation
story	NN	story
virus	NN	virus
unleashed	VBN	unleash
world	NN	world
causes	VBZ	cause
men	NNS	man
's	POS	's
sexual	JJ	sexual
drive	NN	drive
replaced	VBD	replace
murderous	JJ	murderous
tendencies	NNS	tendency
women	NNS	woman
episode	NN	episode
starts	VBZ	start
all	DT	all
right	JJ	right
short	JJ	short
film	NN	film
explaining	VBG	explain
way	NN	way
screw	NN	screw
fly	VB	fly
killed	VBN	kill
scientists	NNS	scientist
short	JJ	short
scene	NN	scene
man	NN	man
arrested	VBN	arrest
females	NNS	female
bodies	NNS	body
discovered	VBD	discover
home	RB	home
assume	VB	assume
supposed	VBN	suppose
beginning	NN	beginning
outbreak	NN	outbreak
but	CC	but
unclear	JJ	unclear
never	RB	never
revisited	VBN	revisit
episode	NN	episode
ons	NNS	on
while	IN	while
introducing	VBG	introduce
characters	NNS	character
blah	VB	blah
blah	JJ	blah
blah	JJ	blah
cool	JJ	cool
mysterious	JJ	mysterious
but	CC	but
episode	NN	episode
stars	VBZ	star
worse	JJR	bad
worse	NN	worse
as	RB	as
lurches	VBZ	lurch
forward	RB	forward
sad	JJ	sad
unsatisfying	VBG	unsatisfy
end	NN	end
worst	NN	worst
episode	NN	episode
well	RB	well
except	IN	except
chocolate	NN	chocolate
