for	IN	for
minutes	NNS	minute
empire	NN	empire
really	RB	really
shapes	VBZ	shape
itself	PP	itself
up	RB	up
appears	VBZ	appear
strong	JJ	strong
confident	JJ	confident
relatively	RB	relatively
unknown	JJ	unknown
gangster	NN	gangster
flick	NN	flick
time	NN	time
did	VBD	do
n't	RB	n't
know	VB	know
thought	VBN	think
good	JJ	good
but	CC	but
main	JJ	main
problems	NNS	problem
film	NN	film
purely	RB	purely
utterly	RB	utterly
distasteful	JJ	distasteful
do	VBP	do
n't	RB	n't
mind	VB	mind
films	NNS	film
psychos	NNS	psycho
things	NNS	thing
prove	VBP	prove
point	NN	point
jackie	NN	<unknown>
brown	JJ	brown
example	NN	example
but	CC	but
they	PP	they
're	VBP	be
all	RB	all
terribly	RB	terribly
shallow	JJ	shallow
but	CC	but
obviously	RB	obviously
thrown	VBN	throw
entertainment	NN	entertainment
literally	RB	literally
feel	VBP	feel
knot	NN	knot
pull	NN	pull
stomach	NN	stomach
major	JJ	major
problem	NN	problem
protagonist	NN	protagonist
smug	JJ	smug
arrogant	JJ	arrogant
yet	CC	yet
ironically	RB	ironically
enough	RB	enough
not	RB	not
bad	JJ	bad
does	VBZ	do
n't	RB	n't
tight	JJ	tight
enough	JJ	enough
drug	NN	drug
dealing	VBG	deal
woman	NN	woman
killer	NN	killer
fact	NN	fact
end	NN	end
day	NN	day
film	NN	film
completely	RB	completely
pretentious	JJ	pretentious
not	RB	not
slick	JJ	slick
not	RB	not
clever	JJ	clever
just	RB	just
dull	JJ	dull
meaningless	JJ	meaningless
colossal	JJ	colossal
mess	NN	mess
avoided	VBD	avoid
all	DT	all
costs	NNS	cost
1	CD	1
5	CD	5
