some	DT	some
filmmakers	NNS	filmmaker
participating	VBG	participate
series	NN	series
really	RB	really
great	JJ	great
films	NNS	film
but	CC	but
sure	JJ	sure
as	IN	as
heck	NN	heck
not	RB	not
showing	VBG	show
much	JJ	much
skill	NN	skill
series	NN	series
particularly	RB	particularly
writing	VBG	write
ok	VB	ok
season	NN	season
somewhat	RB	somewhat
better	JJR	good
but	CC	but
new	JJ	new
episodes	NNS	episode
creating	VBG	create
just	RB	just
stink	NN	stink
i	NNS	i
'm	VBP	be
huge	JJ	huge
fan	NN	fan
horror	NN	horror
opinion	NN	opinion
vast	JJ	vast
majority	NN	majority
episodes	NNS	episode
total	JJ	total
garbage	NN	garbage
nothing	NN	nothing
new	JJ	new
genuinely	RB	genuinely
interesting	JJ	interesting
few	JJ	few
visually	RB	visually
creative	JJ	creative
it	PP	it
's	VBZ	be
just	RB	just
typical	JJ	typical
fabricated	VBN	fabricate
hollywood	NN	<unknown>
crap	NN	crap
uninteresting	VBG	uninterest
childish	JJ	childish
poorly	RB	poorly
conceived	VBN	conceive
cases	NNS	case
flat	RB	flat
laughable	JJ	laughable
much	RB	much
like	IN	like
tales	NN	tales
crypt	NN	crypt
good	JJ	good
thing	NN	thing
series	NN	series
offering	VBG	offer
great	JJ	great
nudity	NN	nudity
series	NN	series
blows	VBZ	blow
hard	JJ	hard
impression	NN	impression
hired	VBD	hire
bunch	NN	bunch
eighth	JJ	eighth
graders	NNS	grader
write	VBP	write
episodes	NNS	episode
maybe	RB	maybe
did	VBD	do
