you	PP	you
figure	VBP	figure
star	NN	star
's	POS	's
listed	JJ	listed
wrong	JJ	wrong
opening	NN	opening
credits	NNS	credit
not	RB	not
good	JJ	good
time	NN	time
credit	NN	credit
reads	VBZ	read
"	``	"
cuba	NN	<unknown>
gooding	NN	<unknown>
j	NN	j
r	NN	r
"	``	"
nice	JJ	nice
car	NN	car
chase	NN	chase
shoot	NN	shoot
'	POS	'
em	NN	em
up	IN	up
blow	NN	blow
'	POS	'
em	NN	em
up	IN	up
action	NN	action
all	RB	all
want	VBP	want
action	NN	action
relationship	NN	relationship
plot	NN	plot
exists	VBZ	exist
tenuous	JJ	tenuous
best	JJS	good
completely	RB	completely
unbelievable	JJ	unbelievable
motivations	NNS	motivation
characters	NNS	character
especially	RB	especially
gooding	NN	<unknown>
's	POS	's
end	NN	end
worse	RBR	worse
unbelievable	JJ	unbelievable
irrational	NN	irrational
not	RB	not
hopelessly	RB	hopelessly
muddled	VBN	muddle
all	DT	all
think	VBP	think
andy	NN	<unknown>
cheng	NN	<unknown>
really	RB	really
nice	JJ	nice
guy	NN	guy
many	JJ	many
good	JJ	good
actors	NNS	actor
foul	JJ	foul
project	NN	project
ca	MD	ca
n't	RB	n't
all	RB	all
