del	FW	del
"	''	"
you	PP	you
dumbest	JJS	dumb
smart	JJ	smart
person	NN	person
i	NNS	i
've	VBP	have
met	VBN	meet
"	``	"
calvin	NN	<unknown>
"	''	"
well	RB	well
brain	NN	brain
but	CC	but
lost	VBD	lose
writes	VBZ	write
"	``	"
i	NNS	i
think	VBP	think
most	RBS	most
egregious	JJ	egregious
bastardization	NN	bastardization
asimov	NN	<unknown>
's	POS	's
work	NN	work
character	NN	character
susan	NN	<unknown>
calvin	NN	<unknown>
portrayed	VBD	portray
books	NNS	book
actually	RB	actually
strong	JJ	strong
female	JJ	female
protagonists	NNS	protagonist
able	JJ	able
think	VBP	think
way	NN	way
problem	NN	problem
she	PP	she
's	VBZ	be
just	RB	just
damsel	NN	damsel
distress	NN	distress
waiting	NN	waiting
rescued	VBN	rescue
wil	NP	wil
smith	NN	smith
passing	VBG	pass
references	NNS	reference
asimov	NP	Asimov
's	POS	's
laws	NNS	law
robotics	NNS	robotic
but	CC	but
afterthought	NN	afterthought
cgi	NN	<unknown>
action	NN	action
scenes	NNS	scene
smith	NN	smith
likable	JJ	likable
as	IN	as
most	JJS	most
films	NNS	film
but	CC	but
honestly	RB	honestly
story	NN	story
is	VBZ	be
n't	RB	n't
good	JJ	good
figure	NN	figure
long	JJ	long
genius	NN	genius
characters	NNS	character
