there	EX	there
's	VBZ	be
thing	NN	thing
need	MD	need
say	VB	say
scene	NN	scene
shaq	JJ	<unknown>
musical	JJ	musical
number	NN	number
francis	NN	<unknown>
capra	NN	<unknown>
's	POS	's
character	NN	character
wanting	VBG	want
genie	NN	genie
never	RB	never
story	NN	story
horrible	JJ	horrible
acting	VBG	act
terrible	JJ	terrible
c'mon	NN	<unknown>
it	PP	it
's	VBZ	be
shaq	NP	<unknown>
i	NP	i
'd	VBD	have
capra	NN	<unknown>
free	JJ	free
willy	NN	<unknown>
equally	RB	equally
horrible	JJ	horrible
twice	RB	twice
seeing	VBG	see
