1999	CD	@card@
history	NN	history
as	IN	as
year	NN	year
critic	NN	critic
lead	NN	lead
general	JJ	general
public	NN	public
astray	RB	astray
sent	VBD	send
eyes	NNS	eye
wide	RB	wide
shut	VBD	shut
hyped	NN	hyped
up	IN	up
blair	NP	Blair
witch	NN	witch
project	NN	project
magnolia	NN	magnolia
far	RB	far
worst	JJS	bad
year	NN	year
heck	NN	heck
knows	VBZ	know
full	JJ	full
self	NN	self
indulgence	NN	indulgence
loaded	VBD	load
bad	JJ	bad
acting	VBG	act
always	RB	always
like	IN	like
stay	VB	stay
watch	NN	watch
credits	NNS	credit
but	CC	but
thing	NN	thing
could	MD	could
n't	RB	n't
theatre	NN	theatre
fast	RB	fast
enough	RB	enough
most	JJS	most
audience	NN	audience
attended	VBD	attend
showing	NN	showing
felt	VBD	feel
pretty	RB	pretty
much	JJ	much
way	NN	way
dates	NNS	date
arguing	VBG	argue
as	RB	as
well	RB	well
as	IN	as
strangers	NNS	stranger
it	PP	it
's	VBZ	be
ugly	JJ	ugly
hateful	JJ	hateful
film	NN	film
make	VBP	make
feel	VB	feel
ugly	JJ	ugly
hateful	JJ	hateful
