worst	JJS	bad
seen	VBN	see
gingerale	NN	<unknown>
afternoon	NN	afternoon
suppose	VBP	suppose
horror	NN	horror
comedy	NN	comedy
pretty	RB	pretty
much	RB	much
predicted	VBN	predict
scene	NN	scene
special	JJ	special
effects	NNS	effect
not	RB	not
special	JJ	special
believe	VBP	believe
come	VB	come
up	RP	up
as	IN	as
good	JJ	good
effects	NNS	effect
lying	VBG	lie
house	NN	house
wish	VBP	wish
good	JJ	good
say	NN	say
but	CC	but
afraid	JJ	afraid
do	VBP	do
n't	RB	n't
coolio	NN	<unknown>
ashamed	JJ	ashamed
appearing	VBG	appear
turkey	NN	turkey
little	RB	little
thought	VBD	think
thing	NN	thing
good	JJ	good
say	VBP	say
ended	VBN	end
