all	DT	all
funny	JJ	funny
things	NNS	thing
happening	VBG	happen
sitcom	NN	sitcom
based	VBN	base
main	JJ	main
character	NN	character
jim	NNS	<unknown>
either	CC	either
bad	JJ	bad
father	NN	father
bad	JJ	bad
husband	NN	husband
generally	RB	generally
just	RB	just
enormously	RB	enormously
selfish	JJ	selfish
funny	JJ	funny
course	NN	course
character	NN	character
sitcom	NN	sitcom
flawed	VBN	flaw
but	CC	but
jim	NNS	<unknown>
's	POS	's
character	NN	character
flawed	VBD	flaw
extremely	RB	extremely
unsympathetic	JJ	unsympathetic
manner	NN	manner
guess	VBP	guess
it	PP	it
's	VBZ	be
"	``	"
he	PP	he
better	VBP	better
"	``	"
jim	NN	<unknown>
's	VBZ	be
not	RB	not
stupid	JJ	stupid
guy	NN	guy
care	NN	care
things	NNS	thing
he	PP	he
's	VBZ	have
got	VBN	get
opportunities	NNS	opportunity
but	CC	but
chooses	VBZ	choose
not	RB	not
it	PP	it
's	VBZ	be
conscious	JJ	conscious
choice	NN	choice
makes	VBZ	make
chooses	VBZ	choose
not	RB	not
play	VB	play
kids	NNS	kid
not	RB	not
shopping	NN	shopping
does	VBZ	do
n't	RB	n't
want	VB	want
buy	VB	buy
"	``	"
lady	NN	lady
products	NNS	product
"	``	"
it	PP	it
's	VBZ	be
choice	JJ	choice
makes	VBZ	make
puts	NNS	put
relatives	NNS	relative
characters	NNS	character
series	NN	series
jim	NN	<unknown>
jerk	NN	jerk
cheryl	NN	<unknown>
character	NN	character
real	JJ	real
person	NN	person
left	VBD	leave
years	NNS	year
ago	RB	ago
not	RB	not
stay	VB	stay
deadbeat	NN	deadbeat
8	CD	8
years	NNS	year
but	CC	but
alas	UH	alas
she	PP	she
's	VBZ	be
just	RB	just
catalyst	NN	catalyst
jim	NN	<unknown>
's	POS	's
quirky	JJ	quirky
middle	JJ	middle
class	NN	class
extreme	JJ	extreme
selfishness	NN	selfishness
