it	PP	it
morbidly	RB	morbidly
fascinating	JJ	fascinating
look	NN	look
life	NN	life
america	NN	<unknown>
's	POS	's
most	RBS	most
notorious	JJ	notorious
serial	JJ	serial
killers	NNS	killer
but	CC	but
sadly	RB	sadly
does	VBZ	do
n't	RB	n't
come	VB	come
close	RB	close
terrible	JJ	terrible
editing	VBG	edit
direction	NN	direction
bad	JJ	bad
acting	VBG	act
literally	RB	literally
10	CD	@card@
minutes	NNS	minute
plot	NN	plot
stretched	VBD	stretch
100	CD	@card@
redeeming	JJ	redeeming
quality	NN	quality
bruce	NN	<unknown>
davidson	NN	<unknown>
as	IN	as
father	NN	father
but	CC	but
that	DT	that
's	VBZ	be
not	RB	not
nearly	RB	nearly
enough	RB	enough
save	VB	save
stinker	NN	stinker
1	CD	1
10	CD	@card@
