once	IN	once
time	NN	time
science	NN	science
fiction	NN	fiction
author	NN	author
named	VBN	name
h	NN	h
beam	NN	beam
piper	NN	piper
wrote	VBD	write
classic	JJ	classic
book	NN	book
named	VBN	name
"	``	"
little	RB	little
fuzzy	JJ	fuzzy
"	''	"
man	NN	man
discovering	VBG	discover
race	NN	race
adorable	JJ	adorable
little	JJ	little
fuzzy	JJ	fuzzy
humanoids	NNS	humanoid
planet	NN	planet
mr	NN	Mr
piper	NN	piper
died	VBD	die
1964	CD	@card@
but	CC	but
hollywood	JJ	<unknown>
many	JJ	many
today	NN	today
's	POS	's
authors	NNS	author
starting	VBG	start
looting	VBG	loot
grave	JJ	grave
cadaver	NN	cadaver
got	VBD	get
cold	JJ	cold
book	NN	book
got	VBD	get
idea	NN	idea
ewoks	NNS	<unknown>
skullduggery	NN	skullduggery
blatant	JJ	blatant
ripoff	NN	ripoff
"	``	"
little	RB	little
fuzzy	JJ	fuzzy
"	''	"
wonder	NN	wonder
i	NNS	i
'm	VBP	be
who	WP	who
's	VBZ	be
noticed	VBN	notice
but	CC	but
do	VBP	do
n't	RB	n't
word	NN	word
here	RB	here
's	POS	's
link	NN	link
project	NN	project
guntenberg	NN	<unknown>
download	NN	<unknown>
copy	NN	copy
"	``	"
little	RB	little
fuzzy	JJ	fuzzy
"	''	"
free	JJ	free
http	NN	<unknown>
www	NN	<unknown>
gutenberg	NP	Gutenberg
org	NP	<unknown>
ebooks	NNS	<unknown>
18137	CD	@card@
