hey	UH	hey
look	VB	look
deal	NN	deal
much	RB	much
better	JJR	good
portrayals	NNS	portrayal
hardship	NN	hardship
black	JJ	black
america	NN	<unknown>
than	IN	than
although	IN	although
think	NN	think
story	NN	story
weak	JJ	weak
criticism	NN	criticism
focused	VBD	focus
poor	JJ	poor
execution	NN	execution
story	NN	story
mentioned	VBD	mention
blows	NNS	blow
mid	IN	mid
80	CD	@card@
's	POS	's
horrible	JJ	horrible
music	NN	music
score	NN	score
department	NN	department
it	PP	it
's	VBZ	be
funny	JJ	funny
oprah	NN	<unknown>
as	IN	as
day	NN	day
crack	NN	crack
whore	NN	whore
type	NN	type
scene	NN	scene
bigger	JJR	big
stuffs	NNS	stuff
elizabeth	NN	<unknown>
mcgovern	NN	<unknown>
incinerator	NN	incinerator
pure	JJ	pure
classic	JJ	classic
cinema	NN	cinema
do	VBP	do
n't	RB	n't
care	VB	care
drunk	JJ	drunk
you	PP	you
react	VBP	react
1200f	JJ	<unknown>
degree	NN	degree
flame	NN	flame
no	DT	no
matter	NN	matter
bad	JJ	bad
acting	NN	acting
but	CC	but
really	RB	really
milked	VBN	milk
scene	NN	scene
comical	JJ	comical
i	NP	i
'll	MD	will
tell	VB	tell
though	IN	though
great	JJ	great
satisfaction	NN	satisfaction
seeing	VBG	see
elizabeth	NP	Elizabeth
mcgovern	NN	<unknown>
burn	NN	burn
faux	NN	faux
death	NN	death
annoys	VBZ	annoy
