hi	UH	hi
i	NP	i
'm	VBP	be
friend	NN	friend
werewolf	NN	werewolf
saw	VBD	see
title	NN	title
darkwolf	NN	<unknown>
hitting	VBG	hit
shelves	NNS	shelf
like	IN	like
"	``	"
hmm	NP	Hmm
simple	JJ	simple
nice	JJ	nice
least	JJS	least
althou	NN	<unknown>
wonder	NN	wonder
have	VBP	have
n't	RB	n't
heard	VBN	hear
"	``	"
first	RB	first
all	RB	all
starts	VBZ	start
tits	NNS	tit
lots	NNS	lot
tits	NNS	tit
tits	NNS	tit
pretty	RB	pretty
much	RB	much
all	DT	all
budget	NN	budget
went	VBD	go
cares	VBZ	care
werewolf	NN	werewolf
effect	NN	effect
just	RB	just
pay	VB	pay
actresses	NNS	actress
enough	RB	enough
topless	JJ	topless
shots	NNS	shot
mysterious	JJ	mysterious
darkwolf	NN	<unknown>
character	NN	character
little	JJ	little
spoilers	NNS	spoiler
ahead	RB	ahead
but	CC	but
really	RB	really
cares	VBZ	care
he	PP	he
's	VBZ	be
average	JJ	average
everyday	JJ	everyday
biker	NN	biker
not	RB	not
super	JJ	super
tough	JJ	tough
looking	VBG	look
but	CC	but
like	IN	like
old	JJ	old
wise	JJ	wise
woman	NN	woman
says	VBZ	say
"	``	"
he	PP	he
far	RB	far
more	RBR	more
powerful	JJ	powerful
dangerous	JJ	dangerous
than	IN	than
you	PP	you
've	VBP	have
faced	VBN	face
"	``	"
just	RB	just
describing	VBG	describe
tattooed	VBN	tattoo
biker	NN	biker
type	NN	type
guy	NN	guy
pretty	RB	pretty
original	JJ	original
look	NN	look
twice	RB	twice
used	VBN	use
"	``	"
red	JJ	red
glowing	JJ	glowing
eyes	NNS	eye
"	``	"
special	JJ	special
effect	NN	effect
mean	NN	mean
god	NN	god
"	``	"
lets	VBZ	let
plant	NN	plant
red	NN	red
dots	VBZ	dot
eyes	NNS	eye
computer	NN	computer
"	''	"
effect	NN	effect
used	VBN	use
seventies	NNS	seventy
looks	VBZ	look
plain	RB	plain
ugly	JJ	ugly
do	VBP	do
n't	RB	n't
started	VBN	start
werewolf	NN	werewolf
3d	JJ	<unknown>
cgi	NNS	<unknown>
as	RB	as
said	VBD	say
like	IN	like
bad	JJ	bad
old	JJ	old
video	NN	video
game	NN	game
finally	RB	finally
as	RB	as
like	IN	like
werewolf	NN	werewolf
films	NNS	film
like	IN	like
said	VBN	say
prettymuch	NNS	<unknown>
always	RB	always
build	VBP	build
werewolf	NN	werewolf
legend	NN	legend
darkwolf	NN	<unknown>
does	VBZ	do
build	VB	build
werewolfworld	NN	<unknown>
as	IN	as
well	RB	well
silly	JJ	silly
legends	NNS	legend
hybrid	JJ	hybrid
werewolves	NNS	werewolf
ancient	JJ	ancient
bloodline	NN	bloodline
but	CC	but
almost	RB	almost
instantly	RB	instantly
creating	VBG	create
rules	NNS	rule
engagement	NN	engagement
"	``	"
the	DT	the
darkwolf	NN	<unknown>
kills	VBZ	kill
girl	NN	girl
touched	VBN	touch
"	``	"
starts	VBZ	start
random	JJ	random
slashing	VBG	slash
just	RB	just
does	VBZ	do
n't	RB	n't
make	VB	make
any	DT	any
sense	NN	sense
bother	VB	bother
telling	VBG	tell
rules	NNS	rule
killing	VBG	kill
are	VBP	be
n't	RB	n't
gonna	VBG	gonna
play	NN	play
aplus	NN	<unknown>
wolf	NN	wolf
point	NN	point
view	NN	view
shots	NNS	shot
sony	NN	<unknown>
handycam	NN	<unknown>
filming	VBG	film
mostly	RB	mostly
floor	NN	floor
walls	NNS	wall
just	RB	just
add	VBP	add
growling	VBG	growl
noises	NNS	noise
you	PP	you
've	VBP	have
got	VBN	get
super	JJ	super
werewolf	NN	werewolf
effect	NN	effect
gore	VBP	gore
partially	RB	partially
ok	VB	ok
but	CC	but
wolf	VB	wolf
slashes	NNS	slash
open	JJ	open
hand	NN	hand
just	RB	just
basically	RB	basically
laying	VBG	lay
hand	NN	hand
top	NN	top
victims	NNS	victim
just	RB	just
does	VBZ	do
n't	RB	n't
trick	VB	trick
truly	RB	truly
gives	VBZ	give
money	NN	money
make	VB	make
heaps	NNS	heap
junk	NN	junk
straight	JJ	straight
video	NN	video
horrortitles	NNS	<unknown>
are	VBP	be
n't	RB	n't
funny	JJ	funny
kind	NN	kind
bad	RB	bad
just	RB	just
sad	JJ	sad
