where	WRB	where
start	NN	start
feel	NN	feel
violated	VBD	violate
thats	NNS	<unknown>
right	RB	right
violated	VBD	violate
just	RB	just
spent	VBN	spend
1	CD	1
5hrs	JJ	<unknown>
life	NN	life
1	CD	1
5hrs	NN	<unknown>
spent	VBD	spend
doing	VBG	do
more	RBR	more
useful	JJ	useful
like	IN	like
watching	VBG	watch
paint	NN	paint
dry	JJ	dry
called	VBN	call
horror	NN	horror
flick	NN	flick
not	RB	not
scary	JJ	scary
not	RB	not
funny	JJ	funny
not	RB	not
dramatic	JJ	dramatic
no	DT	no
action	NN	action
nothing	NN	nothing
predictable	JJ	predictable
boring	JJ	boring
tragic	JJ	tragic
come	VBN	come
bit	NN	bit
harsh	JJ	harsh
but	CC	but
watch	VB	watch
feel	VB	feel
way	NN	way
no	RB	no
do	VBP	do
n't	RB	n't
watch	VB	watch
unless	IN	unless
want	NN	want
feel	NN	feel
violated	VBD	violate
