why	WRB	why
bother	VB	bother
seeing	VBG	see
great	JJ	great
total	JJ	total
waste	NN	waste
time	NN	time
money	NN	money
bad	RB	bad
felt	VBD	feel
bad	JJ	bad
wanting	IN	wanting
watching	VBG	watch
it	PP	it
bad	JJ	bad
actors	NNS	actor
bad	JJ	bad
script	NN	script
really	RB	really
bad	JJ	bad
story	NN	story
stupid	JJ	stupid
worst	JJS	bad
cgi	NN	<unknown>
good	JJ	good
moments	NNS	moment
60	CD	@card@
seconds	NNS	second
the	DT	the
strip	NN	strip
club	NN	club
interesting	JJ	interesting
thing	NN	thing
characther	NN	<unknown>
wish	NN	wish
dies	VBZ	die
stupid	JJ	stupid
enough	RB	enough
do	VBP	do
n't	RB	n't
remember	VB	remember
but	CC	but
boyfriend	NN	boyfriend
"	``	"
chosen	JJ	chosen
one	CD	one
"	''	"
note	NN	note
want	VBP	want
good	JJ	good
is	VBZ	be
n't	RB	n't
right	JJ	right
choice	NN	choice
0	CD	0
stars	VBZ	star
10	CD	@card@
