we	PP	we
saw	VBD	see
shelf	NN	shelf
local	JJ	local
video	NN	video
store	NN	store
saw	VBD	see
"	``	"
coppola	NN	<unknown>
"	''	"
credits	NNS	credit
got	VBD	get
excited	JJ	excited
time	NN	time
raised	VBD	raise
any	DT	any
interest	NN	interest
never	RB	never
quite	RB	quite
work	VB	work
attempt	NN	attempt
humourous	JJ	<unknown>
film	NN	film
failed	VBD	fail
miserably	RB	miserably
attempt	VB	attempt
serious	JJ	serious
film	NN	film
failed	VBD	fail
miserably	RB	miserably
general	JJ	general
entire	JJ	entire
production	NN	production
incredibly	RB	incredibly
amatuerish	JJ	<unknown>
sound	NN	sound
particular	RB	particular
absolutely	RB	absolutely
dreadful	JJ	dreadful
especially	RB	especially
scenes	NNS	scene
shot	VBD	shoot
little	JJ	little
bar	NN	bar
dialogue	NN	dialogue
corny	JJ	corny
parts	NNS	part
unbelievable	JJ	unbelievable
very	RB	very
disappointing	JJ	disappointing
