every	DT	every
year	NN	year
watch	NN	watch
hundreds	NNS	hundred
films	NNS	film
including	VBG	include
many	JJ	many
low	JJ	low
budget	NN	budget
amateurish	JJ	amateurish
straight	JJ	straight
dvd	NN	<unknown>
abominations	NNS	abomination
nobody	NN	nobody
right	NN	right
mind	NN	mind
want	VBP	want
seen	VBN	see
thousands	NNS	thousand
films	NNS	film
time	NN	time
many	JJ	many
excellent	JJ	excellent
many	JJ	many
forgettable	JJ	forgettable
zombie	NN	zombie
nation	NN	nation
remember	VBP	remember
forever	RB	forever
as	IN	as
most	JJS	most
hopelessly	RB	hopelessly
laughable	JJ	laughable
'	''	'
horror	NN	horror
'	POS	'
films	NNS	film
seen	VBN	see
fact	NN	fact
still	RB	still
have	VBP	have
n't	RB	n't
recovered	VBN	recover
experience	NN	experience
watching	VBG	watch
day	NN	day
like	IN	like
kind	NN	kind
weird	JJ	weird
dream	NN	dream
did	VBD	do
really	RB	really
thought	NN	thought
saw	VBD	see
police	NN	police
work	NN	work
warehouse	NN	warehouse
did	VBD	do
voodoo	NN	voodoo
priestesses	NNS	priestess
really	RB	really
recommend	VBP	recommend
'	POS	'
zombies	NNS	zombie
'	''	'
eat	VB	eat
cheeseburgers	NNS	cheeseburger
safe	JJ	safe
safe	JJ	safe
safe	NN	safe
would	MD	would
n't	RB	n't
recommend	VB	recommend
zombie	NN	zombie
nation	NN	nation
want	VBP	want
'	''	'
good	NN	good
'	POS	'
film	NN	film
neither	CC	neither
recommend	VB	recommend
as	RB	as
'	''	'
so	IN	so
bad	JJ	bad
good	NN	good
'	POS	'
however	RB	however
entertained	VBN	entertain
prospect	NN	prospect
watching	VBG	watch
probably	RB	probably
most	RBS	most
indefensibly	RB	indefensibly
abysmal	JJ	abysmal
film	NN	film
asks	VBZ	ask
worst	JJS	bad
film	NN	film
seen	JJ	seen
say	VBP	say
zombie	NN	zombie
nation	NN	nation
seriously	RB	seriously
think	VBP	think
it	PP	it
's	VBZ	be
greater	JJR	great
crime	NN	crime
make	VB	make
boring	JJ	boring
film	NN	film
than	IN	than
bad	JJ	bad
ulli	NP	<unknown>
lommel	NN	<unknown>
deserves	VBZ	deserve
credit	NN	credit
producing	NN	producing
film	NN	film
actually	RB	actually
stuns	VBZ	stun
ineptitude	NN	ineptitude
really	RB	really
ed	VBN	edited
wood	NN	wood
jr	NN	<unknown>
digital	JJ	digital
age	NN	age
ca	MD	ca
n't	RB	n't
wait	VB	wait
makes	NNS	make
film	NN	film
as	IN	as
consistently	RB	consistently
ridiculous	JJ	ridiculous
as	IN	as
