must	MD	must
confess	VB	confess
having	VBG	have
seen	VBN	see
few	JJ	few
howlers	NNS	howler
time	NN	time
but	CC	but
up	RB	up
worst	JJS	bad
plot	NN	plot
troubling	JJ	troubling
follow	NN	follow
sex	NN	sex
violence	NN	violence
thrown	VBN	throw
disorient	VBP	disorient
distract	VB	distract
really	RB	really
poorly	RB	poorly
film	NN	film
imagine	VB	imagine
cast	NN	cast
look	NN	look
end	NN	end
product	NN	product
wish	VBP	wish
gather	VB	gather
dust	NN	dust
shelf	NN	shelf
not	RB	not
disturbed	VBN	disturb
generation	NN	generation
sadly	RB	sadly
case	NN	case
dvd	NNS	<unknown>
sit	VBP	sit
shelf	NN	shelf
look	NN	look
time	NN	time
time	NN	time
