how	WRB	how
many	JJ	many
corrupt	JJ	corrupt
cops	VBZ	cop
any	DT	any
slipping	VBG	slip
up	RP	up
enough	RB	enough
cops	VBZ	cop
run	VB	run
mini	JJ	mini
war	NN	war
include	VBP	include
weapons	NNS	weapon
as	IN	as
flamethrowers	NNS	<unknown>
think	VBP	think
caught	VBN	catch
writing	VBG	write
weekly	JJ	weekly
coupon	NN	coupon
newspaper	NN	newspaper
overheard	VBD	overhear
saying	VBG	say
'	''	'
thanks	NNS	thank
'	POS	'
corrupt	JJ	corrupt
cop	NN	cop
never	RB	never
90ish	JJ	<unknown>
minutes	NNS	minute
life	NN	life
too	RB	too
precious	JJ	precious
rent	NN	rent
feel	VBP	feel
bad	JJ	bad
big	JJ	big
named	VBN	name
actors	NNS	actor
mistake	NN	mistake
making	VBG	make
like	IN	like
justin	NN	<unknown>
timberlake	NN	<unknown>
feel	VBP	feel
free	JJ	free
rent	NN	rent
does	VBZ	do
very	RB	very
major	JJ	major
fans	NNS	fan
enjoy	VBP	enjoy
seeing	VBG	see
however	RB	however
believe	VBP	believe
most	JJS	most
fans	NNS	fan
young	JJ	young
girls	NNS	girl
turned	VBD	turn
violence	NN	violence
