please	UH	please
note	NN	note
have	VBP	have
n't	RB	n't
seen	VBN	see
film	NN	film
discovered	VBD	discover
2007	CD	@card@
town	NN	town
smaller	JJR	small
does	VBZ	do
n't	RB	n't
carry	VB	carry
however	RB	however
really	RB	really
want	VBP	want
say	VBP	say
i	NNS	i
'm	VBP	be
actually	RB	actually
doing	VBG	do
research	NN	research
university	NN	university
title	NN	title
character	NN	character
richard	NN	<unknown>
maurice	NN	<unknown>
bucke	NNS	<unknown>
like	IN	like
point	NN	point
person	NN	person
based	VBN	base
main	JJ	main
character	NN	character
reality	NN	reality
completely	RB	completely
different	JJ	different
hollywood	NN	<unknown>
's	POS	's
ideas	NNS	idea
people	NNS	people
artistic	JJ	artistic
license	NN	license
granted	VBD	grant
real	JJ	real
dr	NN	Dr
bucke	NNS	<unknown>
totally	RB	totally
endorsed	VBD	endorse
hysterectomies	NNS	hysterectomy
cure	VB	cure
insanity	NN	insanity
women	NNS	woman
never	RB	never
practiced	VBN	practice
as	IN	as
liberal	NN	liberal
as	IN	as
represented	VBN	represent
film	NN	film
think	VBP	think
it	PP	it
's	VBZ	be
laughable	JJ	laughable
various	JJ	various
film	NN	film
critics	NNS	critic
write	VBP	write
legitimate	JJ	legitimate
newspapers	NNS	newspaper
say	VBP	say
film	NN	film
historical	JJ	historical
basis	NN	basis
actual	JJ	actual
fact	NN	fact
friendship	NN	friendship
dr	NN	Dr
bucke	NP	<unknown>
walt	NP	Walt
whitman	NP	Whitman
do	VBP	do
n't	RB	n't
waste	VB	waste
time	NN	time
film	NN	film
disregard	NN	disregard
horror	NN	horror
real	JJ	real
women	NNS	woman
experienced	VBD	experience
hands	NNS	hand
doctor	NN	doctor
glorified	VBD	glorify
film	NN	film
industry	NN	industry
