but	CC	but
got	VBN	get
author	NN	author
book	NN	book
favored	VBD	favor
caroline	NN	<unknown>
felt	VBD	feel
sorry	JJ	sorry
character	NN	character
louise	NNS	<unknown>
constantly	RB	constantly
compared	VBN	compare
esau	NN	<unknown>
evil	NN	evil
just	RB	just
felt	VBD	feel
comparison	NN	comparison
bit	NN	bit
harsh	JJ	harsh
realistic	JJ	realistic
really	RB	really
though	IN	though
bad	JJ	bad
would	MD	would
n't	RB	n't
really	RB	really
unless	IN	unless
you	PP	you
're	VBP	be
ready	JJ	ready
big	JJ	big
let	NN	let
