oh	UH	oh
god	NN	god
worst	RB	worst
sh	VBZ	<unknown>
t	NN	t
i	NNS	i
've	VBP	have
seen	VBN	see
main	JJ	main
thought	NN	thought
came	VBD	come
mind	NN	mind
right	RB	right
watching	VBG	watch
really	RB	really
not	RB	not
understand	VB	understand
anybody	NN	anybody
opposite	JJ	opposite
myth	NN	myth
though	IN	though
maybe	RB	maybe
idea	NN	idea
good	NN	good
but	CC	but
effect	NN	effect
miserable	JJ	miserable
especially	RB	especially
mean	JJ	mean
role	NN	role
h	NN	h
graham	NN	graham
opinion	NN	opinion
destroyed	VBD	destroy
all	DT	all
positive	JJ	positive
intentions	NNS	intention
producers	NNS	producer
character	NN	character
played	VBD	play
affected	JJ	affected
annoying	VBG	annoy
way	NN	way
time	NN	time
appears	VBZ	appear
reminds	VBZ	remind
you	PP	you
'	''	'
watching	VBG	watch
destroying	VBG	destroy
spirit	NN	spirit
moment	NN	moment
whole	NN	whole
most	JJS	most
time	NN	time
stupid	JJ	stupid
faces	VBZ	face
more	JJR	more
stupid	JJ	stupid
attempts	NNS	attempt
create	VBP	create
emotion	NN	emotion
terrible	JJ	terrible
do	VBP	do
n't	RB	n't
waste	VB	waste
time	NN	time
