@RELATION donnees
@ATTRIBUTE text STRING
@ATTRIBUTE eval {-1,1}
@data
"sorry everyone I know this be suppose to be an art film but wow they should have hand out gun at the screening so people could blow their brain out and not watch although the scene design and photographic direction be excellent this story be too painful to watch the absence of a sound track be brutal the shot be too long How long can you watch two people just sit there and talk especially when the dialogue be two people complain I really have a hard time just get through this film the performance be excellent but how much of that dark sombre uninspired stuff can you take the only thing i like be Maureen Stapleton and her red dress and dancing scene otherwise this be a ripoff of Bergman and i be no fan f his either I think anyone who say they enjoy 1 1 2 hour of this be well lie",-1
"when I be little my parent take me along to the theater to see it be one of many movie I watch with my parent but this be the only one we walk out of since then I have never see until just recently and I could have live out the rest of my life without it What a pretentious ponderous and painfully boring piece of 's wine and cheese tripe Woody Allen be one of my favorite director but be by far the bad piece of crap of his career in the unmistakable style of Ingmar Berman Allen give us a dark angular muted insight in to the life of a family wrought by the psychological damage cause by divorce estrangement career love non love halitosis whatever the film intentionally have no comic relief no music and be drench in shadowy pathos this film style can be well define as expressionist in nature use an improvisational method of dialogue to illicit a more pronounced depth of meaning and truth but Woody Allen be no Ingmar Bergman the film be painfully slow and dull but beyond that I simply have no connection with or sympathy for any of the character instead I feel only contempt for this parade of shuffle whine nicotine stain martyr in a perpetual quest for identity amid a backdrop of cosmopolitan affluence and bake intelligentsia the story loom like a fart in the room Everyone speak in affected platitude and elevated language between cigarette Everyone be lose and struggle desperate to find direction or understanding or whatever and it just go on and on to the point where you just want to slap all of them it be never about resolution it be only about interminable introspective babble it be nothing more than a psychological drama take to an extreme beyond the audience 's ability to connect Woody Allen choose to make character so immerse in themselves we feel leave out and for that reason I find this movie painfully self indulgent and spiritually drain I see what he be go for but his insistence on promote his message through Prozac prose and distorted film technique jettison it past the point of relevance I highly recommend this one if you be feel a little too happy and need something to remind you of death otherwise let be just pretend this film never happen",-1
"this film be mediocre at good Angie Harmon be as funny as a bag of hammer her bitchy demeanor from Law and Order carry over in a fail attempt at comedy Charlie Sheen be the only one to come out unscathed in this horrible anti comedy the only positive thing to come out of this mess be Charlie and Denise 's marriage hopefully that effort produce good result",-1
"the film be bad there be no other way to say it the story be weak and outdate especially for this country I do n't think most people know what a walker be or will really care I feel as if I be watch a movie from the be the subject be just not believable for the year even be set in DC I think this ring true for everyone else who watch it too as the applause be low and quick at the end most do n't stay for the Q A either I do n't think Schrader really think the film out ahead of time many of the scene seem to be cut short as if they be never finish or he just do n't know how to finish them he jump from one scene to the next and you have to try and figure out or guess what be go on I really do n't get Woody 's Carter private life or boyfriend either What be all the artistic male bondage and torture picture from Iraq prison about What be he thinking I think it be his very poor attempt at try to create this dark private subculture life for Woody 's character car it do n't work it do n't even seem to make sense really the only good thing about this film be Woody Harrelson he play his character car flawlessly you really do get a great sense of what a walker may have be like say twenty year ago he be great and most likely will never get recognize for it as for Lauren Lily and Kristin Boring do n't see it it be painful unless you be a true Harrelson fan",-1
"this film be one giant pant load Paul Schrader be utterly lose in his own bad screenplay and his directing be about as comatose as it can be without his actually have be sleepwalk during the process the bad though be Woody Harrelson whom I ordinarily like when he be properly cast he play the walker a homosexual man in D C who play social companion to the bored wife of the Washington elite he could n't have be more one dimensional if he have be cut out of a magazine and bounce around in front of the camera on a popsicle stick his southern accent be that off the rack version that decrescendo from the beginning to the end of every line he deliver as though the heat and humidity of the South be still drain him of every ounce of energy he have it be monotonous but his be not the bad accent in the movie his boyfriend play by Moritz attempt to affect some kind of a Mid East accent that be so clumsy he can barely deliver the bad line write for him he be incapable of roll his r be in spite of the fact that in real life he be German and speak several language one of them be Italian that be kind of a good reason to cast someone else do n't think from the story to the screenplay to the directing to the camera work to the performance by the lead this movie be bad from begin to end the only tolerable moment in this film come from three support actress Lily Tomlin Lauren Bacall and Kristin Scott Thomas only these three manage to make it through this movie with their dignity in tact in fact all three be excellent in spite of be trap in a really bad film no one could ever be good enough to redeem this endless series of flaw if you like these three actress watch them in something else this movie be not worth your time",-1
"this movie must be in line for the most boring movie in year not even woody Harrison can save this movie from sink to the bottom the murder in this movie be suppose to be the point of interest in this movie but be not nothing be of any interest the cast be not to bad but the script be just plain awful I just sit in utter amazement during this movie thinking how on earth can anyone find this movie producer of this movie be very clever they make a boring movie but hide it well with the name of good actor and actress on their cast people will go to the blockbuster and probably see this movie and think Woody Harrison Kristin Scott Thomas and Willem Dafoe this must be good and rent this movie boy be they in for a horrible time if you like get rip off go and rent this movie some people actually do enjoy this movie but I like to watch a movie with mean",-1
"a wear out plot of a man who take the rap for a woman in a murder case + the equally wear out plot of an outsider on the inside who eventually be shut out with such an outstanding case one would think the film would rise above its hackneyed origin but scene after scene drone by with no change in intensity no character arc and inexplicable behavior the homosexuality theme be completely unnecessary or on the other hand completely unexplore it seem to be include only to titillate the viewer when will Hollywood learn that have gay character do not automatically make a more compelling picture a regrettably dreadful movie when will Lauren Bacall pick a good one I expect good of her and Kristin Scott Thomas this one be definitely one to miss",-1
"I see this movie at a drive in in until Howard the duck I consider this the bad movie I have ever see this movie try to combine all the genus in one comedy horror teenage angst and the hot rod that must have sire My Mother the car maybe it deserve a second viewing to see if it be an accurate reflection of it 's time",-1
"ghost of Hollow be a typical 's teen in turmoil movie it be not a horror or science fiction movie concern a group of teen who be about to get kick out of their hot rod club because they can meet the rent once kick out they decide to try an old House the only saving grace for the film be that the ghost Paul Blaisdell in the she creature suit turn out to be an out of work movie monster play by Blaisdell",-1
"the bad movie I have see since Tera Chal Gaya there be no story no humor no nothing the action sequence seem more like a series of haphazard Akshay Kumar up advertisement stitch together heavily influence from the and Kung Fu but very poorly execute I do not go a lot of expectation but watch this movie be an exasperate experience which make you wonder What be these guy think the only thing you might remember after watch it be an anorexic in a bikini the reason why I do not give a rating of 1 be that every time I think I have see the bad prove me wrong",-1
