@RELATION donnees
@ATTRIBUTE text STRING
@ATTRIBUTE eval {-1,1}
@data
"sorry know suppose art film but wow hand gun screen people blow brain not watch although scene design photographic direction excellent story too painful watch absence sound track brutal shot too long long watch people just sit talk especially dialogue people complain really hard time just get film performance excellent but much dark sombre uninspired stuff thing like red dress dance scene ripoff Bergman i be no fan f either think say enjoy 1 1 2 hour well lie",-1
"when little parent take theater interior many watch parent but walk never see interior just recently live rest life pretentious ponderous painfully boring piece 's wine cheese tripe woody favorite director but interior far bad piece crap career unmistakable style give dark angular muted insight live family wrought psychological damage cause divorce estrangement career love non love halitosis film intentionally no comic relief no music drench shadowy pathos film style good define as expressionist nature use improvisational method dialogue illicit more pronounced depth meaning truth but woody no film painfully slow dull but simply no connection sympathy any character instead feel contempt parade shuffling whine nicotine stain martyr perpetual quest identity amid backdrop cosmopolitan affluence bake brie intelligentsia story loom like fart room speak affected platitude elevate language cigarette lose struggle desperate direction understanding just go on point just want slap all it be never resolution it be interminable introspective babble nothing more than psychological drama take extreme audience 's ability connect woody choose make character immerse feel left reason painfully self indulgent spiritually draining go but insistence promote message prose distorted film technique jettison past point relevance highly recommend you be feel little too happy need remind death let be just pretend film never happen",-1
"this film mediocre good as funny as bag hammer bitchy demeanor law order carry failed attempt comedy charlie sheen come unscathed horrible anti comedy positive thing come mess charlie 's marriage hopefully effort produce good result",-1
"the film bad no way say story weak outdate especially country do n't think most people know walker really care feel as watch 's subject just not believable year set think ring true watch too as applause low quick end most do n't stay q either do n't think Schrader really think film ahead time many scene cut short as never finish just do n't know finish jump scene try figure guess go really do n't woody be carter private life boyfriend either all artistic male bondage torture picture prison thinking think very poor attempt try create dark private subculture life woody be character car do n't work do n't make sense really good thing film woody play character car flawlessly really do great sense walker like say year ago great most likely never recognize as lily boring do n't it painful unless true fan",-1
"this film giant pant load Schrader utterly lose bad screenplay direct as comatose as actually have sleepwalking process bad though woody ordinarily like he be properly cast play the walker homosexual man d c play social companion bored wife elite could n't more dimensional cut magazine bounce camera popsicle stick southern accent off rack version decrescendo begin end line deliver as though heat humidity south still drain ounce energy monotonous but not bad accent boyfriend play Moritz attempt affect kind mid east accent clumsy barely deliver bad line write incapable rolling r 's spite fact real life german speak language Italian that be kind good reason cast do n't think story screenplay direct camera work performance lead bad beginning end tolerable moment film come support actress lily Kristin Scott manage make dignity tact fact all excellent spite trap really bad film no good enough redeem endless series flaw like actress watch not worth time",-1
"this line most boring year not woody save sink the murder suppose point interest but not nothing any interest cast not bad but script just plain awful just sit utter amazement think earth producer very clever boring but hide well name good actor actress cast people blockbuster probably think woody Kristin Scott good rent boy horrible time like get rip rent people actually do enjoy but like watch meaning",-1
"a worn plot man take rap woman murder case + equally worn plot outsider inside eventually shut outstanding case think film rise hackney origin but scene scene drone no change intensity no character arc inexplicable behavior homosexuality theme completely unnecessary hand completely unexplore include titillate viewer learn have gay character do not automatically make more compelling picture regrettably dreadful pick good expect good definitely miss",-1
"i see drive in duck consider bad see try combine all genus comedy horror teenage angst hot rod sire my mother car maybe deserve second viewing accurate reflection it be time",-1
"ghost hollow typical 's teens turmoil not horror science fiction plot concern group teen kick hot rod club can meet rent kick decide try old haunted house save grace film ghost Paul Blaisdell creature suit turn work monster play Blaisdell",-1
"the bad see no story no humor no nothing action sequence more like series haphazard thumb up advertisement stitch heavily influence matrix kung fu hustle but very poorly execute do not lot expectation but watch exasperate experience make wonder what guy think thing remember watch anorexic bikini reason do not rating 1 time think see bad prove wrong",-1
"shame raj film lose intelligence year provide steady fare tripe piece cinematic crap not worth tube standard grit tooth whole flick start finish schizophrenic direction plot line never quite materialize scene just feel ashamed country film maker throw away crore stupidity shame actor take work comment as piece work up khan completely disappoint choice film show enough skin puberty stricken come up as dim wit anil retard pubescent fascination English crony commendable acting bizarre cinematography scatter minute enough pop blood vessel do n't waste any brain cell energy money rent instead beautiful piece independent film come intelligent poignant wonderful story tale touch intelligent actor give hope all not lose Indian cinema make",-1
"if product big production house Indian film industry raj afraid very long ahead reach right standard wrong length enormous star cast anil make still study much harder associate film film lack almost all department except cinematography few good dialogue render but can make enjoy flick huge expectation scene car go river mountain very cheap graphics like cartoon film itself clear indicator director 's vision actor asset simply waste anil 's gimmick attempt good English fall flat most time surely hit himself think sign short it 's big waste Barabar say well enjoyable than can understand kind script write approve most unwanted flashback sequence 's love story faulty script weak point music give just filler tune song song start very well suddenly tune drop drastically song good all lot opportunity waste regard continuity intelligence maker just sample road hilly area foreign location probably scene search hill dicky car still think write manage sit till climax too long silly unnecessary stunt all hero walk storm bullet not hurt as god still see all technical height achieve no more word pathetic downgrade but sincere request senior actor fan dear anil possible ask preview copy as artist stature certain responsibility fan viewer people still clap as enter screen scene respectively think kind not daylight as hamper reputation all associate the actor production house",-1
"i expectation nice star cast return duo well hesitant watch man write story franchise hate 2 but 2 compare say 2 very realistic saw credit beginning feel nice up nice way well very scene itself pi edited major drawback the action sequence friend laugh gut watch fight like against thug all thug get machine gun get to understand bad action sequence thing the far too predictable story remind early be well thing worth sexy look really hot rating 2 guy please do n't think real gangster well watch laugh terrible fight scene all",-1
"the action beat sunny possess superpower matrix spiderman superman hilarious except typical anil comedy can positive film story look like writer tell old son write unreal anil long range shoot shotgun least most mistake director except director make no regret waste money not recommend anybody 1 least zero",-1
"i lot expectation more film jimmy operate centre day invite teach boss English fall love decide run away but tell jimmy ca n't as owe debt know as but decide steal money jimmy find Singh don meantime hire man track jimmy star khan anil direct time director Krishna produce bad film watch yes scenery good much publicise weight loss look good but plot extremely thin story time make no sense scene say beginning expect more film as production reference song unfortunately not song remember moment laugh mainly thank definitely well while play well but can say anil do not suit all as villain lastly never mind past produce direct good film as do produce trash conclusion bad not worth waste time impression",-1
"i no idea film see teaser trailer while promote asked friend know say it directorial debut Krishna write screenplay 1 2 khan 's son make debut film play as child flashback watching understand be n't proper trailer be n't film story extremely year old child come up good story line hardly any action camera shake possible angle it be difficult figure kill action daft unrealistic e g 1 man handgun manage kill man machine gun while watch remind 3 film sin city opening credit anil 's terrible English like puri Barabar outrageously ridiculous joke not jot funny hear budget crore as 2 do n't know all money go do not like 2 absolutely no chance like race hot heel million times good 2 good song song shoot good location but use rubbish film anil 's terrible English could n't save discomfiture",-1
" title itself explain nature type actually flop shame raj film produce worthless than c grade c grade well pleasing story than much hyp confidently promote poorly bomb box office certainly deserve view bad honourable raj film banner come handle heavy project new no actual sense make action flick try imitate 's way make like but suffer action scene more like than comic cartoon exhausting audience story lose meaning substance tenderly win audience heart most scene anil remind southern Tamil star body language expression not fan neither nor but award finally go 's hand instead just start point expect but end displease climax truth main whole adventure while join midst any final judge whole character entire story award say reward give deserve credit lose way unexpectedly fail hit Akshay 's nothing new comedian talent but still remind previous seriously need form new image fan impress again again do great job race return again hilarious nature but fully develop himself act field but not least look really hot bikini dress complain as too lean but myself do n't think instead slim yes slim good factor female attract major people say male nice 's son appear begin as young hope too lean forward target make acting as career like either mentally still want to childhood say want admit asylum thumb debutante director Krishna mishandle project offer raj film future experiment study script minimum 5 year go practical direction sorry do n't like rate good star type junk",-1
"i just see theater very few good point talk 's beauty couple song complete disappointment all area associate disappointed Indian too just semi final but bad feel the action scene day try copy action scene but forget director take lot effect make look like real but unfortunately director not much time spend time song publicity too stupid action scene work south as audience just pay watch favorite actor kill bunch people but certainly not go work all action scene wish forward end Chinese people appear beat height stupidity audience not pay watch stupidity think forget action cant make good action see current scene really sad action fan like do people completion ca n't figure slow motion action use rope too unrealistic childish well not action scene cant handle just want to Amitabh 's era like have thrilling action scene sound effect not very effective day but visually much well than current era scene open eye director do n't make any more action acquire art make realistic",-1
"i very displease terrible start comedy action overdo song storyline weightless writer write successful script like guru high expectation actor work way too hard do not help film all course rock screen bikini but second think Hindi stunt director research action tend exaggerate way too much Chinese film style work signature piece but Hindi cinema 's signature song good action no more than hour can look unrealistic but future i be sure action much sharp noted comedy action film not mix unless properly good luck time",-1
"if film bad year it be promo give indication film boring 2 style film well know bad film maybe film maybe see cheesy promo but film give shock worst 2 expect 's introduction boring meet artificial anil oh god do weird film kinda role act do scene alright but act get repetitive overact come provide nice scene but film more bore all outdated stuff childhood romance overdose childish style action scene all boring scene end Krishna get 3 film more direct film work strategy money nothing addition list crap filmmaker music come film as whiff fresh air actually provide engaging moment khan irritate equally bad anil ham outrageously spoil more rest okay",-1
"absolutely awful utter waste time background music loud can understand speech well really listen closely speak actually unintelligible camera work bad edit not present background score give headache action shoddy dialog unintelligible acting abysmal well use look like wrestler look like starve wrestler hell slim but can gain grace spending hour watching want like but not allow pleasure want torture ahead watch",-1
"sometime fail understand director think make have trauma watch welcome thought wont again but load amazing promo finally end as heart attack amazing 3 song promo u zero story predictable plot plenty stunt nothing interesting apart watch major weight loss music wise major disaster music album spend time give pathetic small dialog 4 joker have n't think give background song scene do stunt song nice quite comparable not take music album sad plan watch say watch listen background song go like Pandey overall very disappointed way attempt speak bad English away man need puke",-1
"i never think standard film degrade extent film nonsense storyline catch no interest act improve figure but not good actress good anil good say role be n't good great deal cheapness fill wonder suppose comedy part just few flop do mean film make kind rubbish history many good film overall totally disappoint",-1
"this horrible acting waste basket no cry no action hopeless song though scenery great always want to as you will expect great performance but let people recognize as pimp voice sensational this performance introduce award toiletry award bad performance way trophy toilet seat all not comparable sister acting look body want prove herself surpass come wear bikini 's tank top short short really wonder khan let wife dress like but must have impress people dress like ask consider man have erection watch dream have bed naked condom include personally think dress like whore but really like force 1 but i have really 0 film",-1
"define new low set standard against all c p compare beginning do element style handle well cult classic la pulp fiction desperado but plot begin meander point completely lose throw derange don obsession English center smart alec femme fa tale don bikini aplomb levitate gravity defy hit man cop thousand black cat commando trail good ingredient competent hand but like ask director sir smoking im sure remember annals film make never insult intelligence most brain dead goer possibly redeem feature matrix plus desperado plus caper music watch video hear airplay wont disappoint come up eminently hummable tune wish director spend money create more eye candy as sign want really badly know do Akshay 's bullet wind vanish microsecond editor do maybe",-1
"the sight piece bikini thing wake up sleep while watch mega disappointing mind numb new film cinema weekend bad film bad film week but not just bad film it be terrible film terrible take audience grant terrible filmmaker expect away plot any common sense they have get big star onboard write directed you will as road but that be go all wrong directions khan star as jimmy cliff centre executive who have hire teach English that be anil play ambitious up gangster desperate cool jimmy 's get eye gangster be pretty young assistant play use jimmy swindle boss crore rupee determine recover money punish jimmy recruit most trust henchman job as gangster 's faithful aide track culprit recover stolen money that be hidden length breadth country much like bad eighty potboiler too hold threadbare script centre vendetta plot but treatment 's top indulgent fail establish any connect instead coherent screenplay traditional act structure handful set piece most scene loosely construct garish item song desert bullet dodge action scene fort 's bikini moment ridiculous climatic action scene complete monk water scooter zip dirty believe not style horse drive tonga all fairness not all set piece badly item song desert quite neat actually but very little make any sense large picture you be just go piece any help script really little expect seemingly fast pace road sickeningly sentimental flashback track childhood sweetheart problem nobody associate film know film make what be more do n't think care either film reek arrogance arbitrarily pack element genre actually bother stop mix do work like overcook stew film kill softly there be film kill excess package snazzily glossy finish camera work exotic location fancy costume frame film probably cost lakh but still feel like hollow piece end story do n't hold borrow narrative style chow do n't help either do n't blend film 's wafer thin plot complain little less character more engaging but anil 's grating dialogue make want slit wrist khan fumble film foolishly unable foot queen top delivery do decent job but course salvage extent it be thank 's irresistible presence spontaneous approach character cringe he be cup crotch repeatedly scowl deliver double meaning dialogue but not moment eye screen he be up despite good music song like they be prolong misery well that be test patience case do n't know mean style i be sorry say film none",-1
"such long await but disappoint friend go the day trailer look like action but turn out comedy bad comedy but thing deserve appreciation act professional actor they have very well good acting but do n't think save shoot beautifully all saturated color alright nevertheless way intrinsic beauty place shoot want exactly place happy action sequence shoot very shabbily no make head tail stunt they have use Akshay very well but could have much much good animation bad i have see recent 's good animation scene guess initial scene car falling fly good word road lake mention nearly min just make sure audience do n't forget guess",-1
