@RELATION donnees
@ATTRIBUTE text STRING
@ATTRIBUTE eval {-1,1}
@data
"sorry know suppose hand screen blow not watch photographic excellent too painful brutal too long long watch just sit talk especially complain really hard just get excellent much dark sombre uninspired like red dance be either think say enjoy well lie",-1
"when little take many watch walk never see just recently live pretentious ponderous painfully boring woody favorite far bad unmistakable give dark angular muted live wrought psychological cause love non intentionally comic drench shadowy good define expressionist use improvisational illicit more pronounced woody painfully slow dull simply instead feel whine stain perpetual cosmopolitan bake loom speak affected elevate lose struggle desperate just go just want slap all be never be interminable introspective more psychological take extreme connect woody choose make immerse feel left reason painfully self indulgent spiritually go promote distorted jettison past highly recommend be feel little too happy remind be just pretend never happen",-1
"mediocre good funny bitchy carry failed come unscathed horrible anti positive come hopefully produce good",-1
"bad say weak outdate especially do not think most know really feel watch just not believable ring true watch too low quick most do not stay do not think really think ahead many cut short never finish just do not know jump try guess go really do not woody be private artistic male picture think very poor try create dark private woody be do not work do not make really good woody play flawlessly really do great ago great most likely never recognize do not painful true",-1
"utterly lose bad direct as comatose actually have sleepwalking bad woody ordinarily be properly play homosexual play social companion bored not more dimensional bounce stick southern begin deliver as south still drain monotonous not bad play affect kind mid east clumsy barely deliver bad write incapable rolling real speak be kind good do not think direct lead bad tolerable come support manage make excellent trap really bad no good enough redeem endless watch not worth",-1
"most boring not woody sink suppose not cast not bad just plain awful just sit utter think very clever hide well name good cast probably think woody good horrible get rip actually do enjoy",-1
"worn take equally worn eventually shut outstanding think hackney drone arc inexplicable completely unnecessary completely unexplore include titillate learn have gay do not automatically make more compelling regrettably dreadful expect good definitely miss",-1
"see consider bad see try combine teenage hot sire maybe deserve second accurate be",-1
"typical not concern kick hot meet rent kick decide try old haunted save turn play",-1
"bad see more haphazard thumb up stitch heavily influence very poorly execute do not watch exasperate make think remember watch anorexic do not see bad prove wrong",-1
"lose provide steady cinematic not worth grit whole finish schizophrenic never quite materialize just feel ashamed throw away take comment completely disappoint show enough stricken come up dim retard pubescent English commendable acting bizarre scatter enough pop do not waste instead beautiful independent come intelligent poignant wonderful touch intelligent give hope not lose Indian make",-1
"big Indian afraid very long ahead reach right wrong enormous make still study much harder associate lack almost few good make enjoy flick huge go very cheap clear simply waste attempt good English flat most surely hit think sign short big say well enjoyable understand write approve most unwanted faulty weak give just tune start very well suddenly tune drop drastically good waste regard just sample hilly foreign probably search hill dicky still think write manage sit too long silly unnecessary walk not hurt still see technical achieve more pathetic sincere senior fan dear possible ask certain still clap as enter respectively think kind not as hamper all associate",-1
"nice well hesitant write hate compare say very realistic feel nice nice well very edited major laugh watch get get understand bad far too predictable remind early be well worth sexy look really hot please do not think real well watch laugh terrible",-1
"beat sunny possess hilarious typical positive look tell old write unreal long range shoot shotgun least most make waste not recommend least",-1
"more operate invite teach English decide run away tell not as owe know decide steal find hire star direct produce bad watch yes good much publicise look good extremely thin make say expect more unfortunately not remember laugh mainly definitely well play well say do not suit all lastly never mind produce direct good do produce bad not worth waste",-1
"see promote asked know say directorial write make play understand be not proper be not extremely old come up good hardly shake possible be difficult kill daft unrealistic manage kill watch remind terrible outrageously ridiculous not jot funny hear do not know go do not absolutely hot good good shoot good use rubbish terrible not save",-1
